,Image,Scalebar size (px),Scale (px to nm),Size (px),Size (nm)
0,Desktop/Movies Cryo/wild_type_curved_septum  Bacillustomography1.avi,106,1.8867924528301887,406.0,766.0377358490566
1,Desktop/Movies Cryo/wild_type_curved_septum  Bacillustomography2.avi,106,1.8867924528301887,462.0,871.6981132075472
2,Desktop/Movies Cryo/wild_type_curved_septum  Bacillustomography3.avi,107,1.8691588785046729,431.0,805.607476635514
3,Desktop/Movies Cryo/wild_type_curved_septum  Bacillustomography4.avi,107,1.8691588785046729,402.0,751.4018691588785
4,Desktop/Movies Cryo/wild_type_curved_septum  Bacillustomography5.avi,107,1.8691588785046729,415.0,775.7009345794393
5,Desktop/Movies Cryo/wild_type_curved_septum  Bacillustomography6.avi,105,1.9047619047619047,443.0,843.8095238095237
6,Desktop/Movies Cryo/wild_type_curved_septum  Bacillustomography7.avi,104,1.9230769230769231,440.0,846.1538461538462
7,Desktop/Movies Cryo/wild_type_curved_septum  Bacillustomography8.avi,110,1.8181818181818181,444.0,807.2727272727273
8,Desktop/Movies Cryo/wild_type_engulfing_septum  Bacillustomography1.avi,107,1.8691588785046729,433.0,809.3457943925233
9,Desktop/Movies Cryo/wild_type_engulfing_septum  Bacillustomography10.avi,106,1.8867924528301887,422.0,796.2264150943396
10,Desktop/Movies Cryo/wild_type_engulfing_septum  Bacillustomography11.avi,120,1.6666666666666667,488.0,813.3333333333334
11,Desktop/Movies Cryo/wild_type_engulfing_septum  Bacillustomography2.avi,81,2.4691358024691357,334.0,824.6913580246913
12,Desktop/Movies Cryo/wild_type_engulfing_septum  Bacillustomography3.avi,81,2.4691358024691357,340.0,839.5061728395061
13,Desktop/Movies Cryo/wild_type_engulfing_septum  Bacillustomography4.avi,107,1.8691588785046729,467.0,872.8971962616822
14,Desktop/Movies Cryo/wild_type_engulfing_septum  Bacillustomography5.avi,86,2.3255813953488373,330.0,767.4418604651163
15,Desktop/Movies Cryo/wild_type_engulfing_septum  Bacillustomography6.avi,108,1.8518518518518519,406.0,751.8518518518518
16,Desktop/Movies Cryo/wild_type_engulfing_septum  Bacillustomography7.avi,106,1.8867924528301887,460.0,867.9245283018868
17,Desktop/Movies Cryo/wild_type_engulfing_septum  Bacillustomography9.avi,107,1.8691588785046729,433.0,809.3457943925233
18,Desktop/Movies Cryo/wild_type_flat_septum  Bacillustomography1.avi,107,1.8691588785046729,487.8,911.7757009345795
19,Desktop/Movies Cryo/wild_type_flat_septum  Bacillustomography3.avi,107,1.8691588785046729,457.0,854.2056074766355
20,Desktop/Movies Cryo/wild_type_flat_septum  Bacillustomography4.avi,107,1.8691588785046729,448.0,837.3831775700935
21,Desktop/Movies Cryo/wild_type_flat_septum  Bacillustomography5.avi,107,1.8691588785046729,431.0,805.607476635514
22,Desktop/Movies Cryo/wild_type_flat_septum  Bacillustomography6.avi,147,1.3605442176870748,462.0,628.5714285714286
23,Desktop/Movies Cryo/wild_type_flat_septum  Bacillustomography7.avi,90,2.2222222222222223,402.0,893.3333333333334
