Channel,Distance_(um),Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38
FM,0,7040,10070,8422,6868.336,7831.324,8330.586,8214.418,6514,7785.105,8499.638,7856,6736,7671,7487.25,6995.5,7618,7990,8623,7144.75,6716.5,5724,6165,6253.25,7426.25,6603.75,10503,7063.375,5346.375,6366,5921,5697.25,6550,6074.5,5812,5664.688,4370.562,6358,7200.375,6061
FM,0.0645,8916.16,12460.249,10074.027,8123.718,10152.287,9670.296,9950.188,7536.68,10139.864,10392.436,9607.767,7822.206,8990.566,8786.923,8642.24,9310.208,9290.205,10400.87,8200.16,7703,6671.35,7759.684,6948.8,8840.346,7926.787,10677.164,7912.961,6069.535,7166.958,7188.879,6665.95,8056.243,7132.622,6774.568,6248.99,4913.294,7246.442,8382.652,7258.024
FM,0.129,11895.2,16238.401,13201.304,10206.831,13877.663,12297.032,13186.351,9396.32,13817.007,13594.728,12751.634,10248.527,11038.298,11188.473,11437.94,12120.997,12512.346,13392.48,10113.21,9615.38,8501.54,9984.364,8280.606,11185.506,9540.968,12562.83,9452.189,6930.504,8904.702,9324.903,8134.596,10734.686,8684.227,8213.88,7455.665,5758.88,8809.069,10256.825,9051.409
FM,0.1935,16064.16,20255.928,16802.5,13352.496,18246.262,16211.253,17065.336,12653.4,18390.295,17326.498,16996.307,13984.086,14495.224,14509.55,15255.72,15649.944,16906.137,17511.07,13286.41,12279.8,11111.324,12826.031,10788,14723.522,12059.974,15426.095,11898.759,8185.944,11649.322,12379.629,10713.715,13908.271,11662.606,11005.092,9404.583,6941.36,11690.041,13328.983,11698.284
FM,0.258,20629.279,23050.494,20433.232,17728.24,22767.539,20090.561,20744.066,17473.859,22120.982,20625.979,21129.061,18440.057,18747.789,17917.084,18373.74,18474.66,21145.488,22510.92,16431.57,15184.47,14247.386,15399.144,13963.364,18136.875,15026.676,18411.016,15606.582,10440.021,15066.651,15069.679,13735.69,16882.238,14742.494,14530.32,12399.297,9154.451,14939.947,16172.933,14983.024
FM,0.3225,23806,23049.855,22867.092,21757.201,24701.924,22424.363,22823.549,21793.6,23595.52,22115.008,23220.785,21651.277,21485.721,20473.051,19361.6,19440.16,23847.613,27138.5,18638.65,17301.6,16423.92,16095.275,17392.699,19898.721,17241.1,20105.664,19093.34,13598.985,17970.529,16481.4,16380.5,18374.35,17286.75,17230.199,16063.64,12325.35,17371.25,18391.75,16917.17
FM,0.387,24330.119,21063.365,22734.297,24038.355,23873.463,22985.115,22397.859,24492.619,22563.158,21004.238,22522.051,22016.758,21750.287,20842.828,18453.92,17843.9,24170.773,29090.721,17805.199,17636.119,16615.447,14863.62,18912.547,19498.973,17490.225,19905.646,20688.215,17211.006,18567.094,16302.78,16207.175,17777.34,17860.861,17828.721,18893.674,15000.689,18119.754,18905.201,17667.777
FM,0.4515,22426,18657.57,20163.332,23538.922,21428.57,21567.656,20385.076,23642.199,20027.299,18469.158,20022.807,20097.818,20201.846,19589.168,16085.88,15646.95,21951.531,28568.779,15944.75,16341.68,15297.666,12463.63,18833.004,17596.18,16288.163,17453.342,20055.965,19317.955,17241.105,14036.403,14901.848,15870.953,16361.931,16673.355,19909.287,16411.369,16911.711,17764.137,16137.799
FM,0.516,19311.439,16559.406,17991.084,21157.344,18449.484,18973.184,17584.191,20891.76,17167.512,16153.498,16990.637,17397.672,17272.359,16753.332,13878.86,13433.313,18816.176,26064.76,13842.81,14366.61,12747.128,10800.232,17364.762,15245.803,14464.182,14736.136,17855.381,19417.287,14757.67,11938.03,12851.226,13554.035,14268.994,14235,19219.057,15783.368,14559.045,15616.578,13588.05
FM,0.5805,16636.561,15354.81,15892.95,17992.26,15990.48,16892.633,15673.707,17671.561,15234.7,14384.061,14851.656,14641.307,14866.346,14554.32,12295.16,12064.905,16127.886,22855.57,12308.68,12664.12,10987.074,9733.232,15328.424,13721.08,12699.073,12958.381,15334.961,17440.494,12806.94,10393.275,11332.63,11685.405,12493.594,11984.988,17600.182,13682.044,12556.494,13838.024,11452.179
