,Image type,Model,Threshold,F1,Image
0,Deconvolved,Omnipose,0.5,1.0,0
1,Deconvolved,Omnipose,0.55,1.0,0
2,Deconvolved,Omnipose,0.6,1.0,0
3,Deconvolved,Omnipose,0.65,1.0,0
4,Deconvolved,Omnipose,0.7,0.97727275,0
5,Deconvolved,Omnipose,0.75,0.97727275,0
6,Deconvolved,Omnipose,0.8,0.97727275,0
7,Deconvolved,Omnipose,0.85,0.97727275,0
8,Deconvolved,Omnipose,0.9,0.97727275,0
9,Deconvolved,Omnipose,0.95,0.5,0
10,Deconvolved,Omnipose,1.0,0.0,0
0,Deconvolved,Cellpose-SAM,0.5,0.9655172,0
1,Deconvolved,Cellpose-SAM,0.55,0.9655172,0
2,Deconvolved,Cellpose-SAM,0.6,0.9655172,0
3,Deconvolved,Cellpose-SAM,0.65,0.9655172,0
4,Deconvolved,Cellpose-SAM,0.7,0.9655172,0
5,Deconvolved,Cellpose-SAM,0.75,0.9655172,0
6,Deconvolved,Cellpose-SAM,0.8,0.9655172,0
7,Deconvolved,Cellpose-SAM,0.85,0.9655172,0
8,Deconvolved,Cellpose-SAM,0.9,0.9425287,0
9,Deconvolved,Cellpose-SAM,0.95,0.82758623,0
10,Deconvolved,Cellpose-SAM,1.0,0.0,0
0,Deconvolved,microSAM,0.5,0.95652175,0
1,Deconvolved,microSAM,0.55,0.95652175,0
2,Deconvolved,microSAM,0.6,0.95652175,0
3,Deconvolved,microSAM,0.65,0.95652175,0
4,Deconvolved,microSAM,0.7,0.9347826,0
5,Deconvolved,microSAM,0.75,0.9347826,0
6,Deconvolved,microSAM,0.8,0.9130435,0
7,Deconvolved,microSAM,0.85,0.8695652,0
8,Deconvolved,microSAM,0.9,0.2826087,0
9,Deconvolved,microSAM,0.95,0.04347826,0
10,Deconvolved,microSAM,1.0,0.0,0
0,Deconvolved,Cellpose3,0.5,0.95555556,0
1,Deconvolved,Cellpose3,0.55,0.95555556,0
2,Deconvolved,Cellpose3,0.6,0.93333334,0
3,Deconvolved,Cellpose3,0.65,0.9111111,0
4,Deconvolved,Cellpose3,0.7,0.9111111,0
5,Deconvolved,Cellpose3,0.75,0.8666667,0
6,Deconvolved,Cellpose3,0.8,0.82222223,0
7,Deconvolved,Cellpose3,0.85,0.73333335,0
8,Deconvolved,Cellpose3,0.9,0.2888889,0
9,Deconvolved,Cellpose3,0.95,0.0,0
10,Deconvolved,Cellpose3,1.0,0.0,0
0,Deconvolved,Morphometrics,0.5,0.0,0
1,Deconvolved,Morphometrics,0.55,0.0,0
2,Deconvolved,Morphometrics,0.6,0.0,0
3,Deconvolved,Morphometrics,0.65,0.0,0
4,Deconvolved,Morphometrics,0.7,0.0,0
5,Deconvolved,Morphometrics,0.75,0.0,0
6,Deconvolved,Morphometrics,0.8,0.0,0
7,Deconvolved,Morphometrics,0.85,0.0,0
8,Deconvolved,Morphometrics,0.9,0.0,0
9,Deconvolved,Morphometrics,0.95,0.0,0
10,Deconvolved,Morphometrics,1.0,0.0,0
0,Deconvolved,Omnipose,0.5,0.954023,1
1,Deconvolved,Omnipose,0.55,0.9425287,1
2,Deconvolved,Omnipose,0.6,0.9425287,1
3,Deconvolved,Omnipose,0.65,0.9425287,1
4,Deconvolved,Omnipose,0.7,0.9367816,1
5,Deconvolved,Omnipose,0.75,0.9367816,1
6,Deconvolved,Omnipose,0.8,0.9310345,1
7,Deconvolved,Omnipose,0.85,0.87931037,1
8,Deconvolved,Omnipose,0.9,0.7643678,1
9,Deconvolved,Omnipose,0.95,0.41379312,1
10,Deconvolved,Omnipose,1.0,0.0,1
0,Deconvolved,Cellpose-SAM,0.5,0.8979592,1
1,Deconvolved,Cellpose-SAM,0.55,0.8921283,1
2,Deconvolved,Cellpose-SAM,0.6,0.8921283,1
3,Deconvolved,Cellpose-SAM,0.65,0.8921283,1
4,Deconvolved,Cellpose-SAM,0.7,0.8862974,1
5,Deconvolved,Cellpose-SAM,0.75,0.8746356,1
6,Deconvolved,Cellpose-SAM,0.8,0.8688047,1
7,Deconvolved,Cellpose-SAM,0.85,0.80466473,1
8,Deconvolved,Cellpose-SAM,0.9,0.5947522,1
9,Deconvolved,Cellpose-SAM,0.95,0.20991254,1
10,Deconvolved,Cellpose-SAM,1.0,0.0,1
0,Deconvolved,microSAM,0.5,0.83419687,1
1,Deconvolved,microSAM,0.55,0.8134715,1
