,Image type,Model,Threshold,F1,Image
0,Raw,Omnipose,0.5,0.98876405,0
1,Raw,Omnipose,0.55,0.98876405,0
2,Raw,Omnipose,0.6,0.98876405,0
3,Raw,Omnipose,0.65,0.98876405,0
4,Raw,Omnipose,0.7,0.98876405,0
5,Raw,Omnipose,0.75,0.98876405,0
6,Raw,Omnipose,0.8,0.98876405,0
7,Raw,Omnipose,0.85,0.98876405,0
8,Raw,Omnipose,0.9,0.8988764,0
9,Raw,Omnipose,0.95,0.29213482,0
10,Raw,Omnipose,1.0,0.0,0
0,Raw,Cellpose-SAM,0.5,0.9885057,0
1,Raw,Cellpose-SAM,0.55,0.9885057,0
2,Raw,Cellpose-SAM,0.6,0.9885057,0
3,Raw,Cellpose-SAM,0.65,0.9885057,0
4,Raw,Cellpose-SAM,0.7,0.9885057,0
5,Raw,Cellpose-SAM,0.75,0.9885057,0
6,Raw,Cellpose-SAM,0.8,0.9885057,0
7,Raw,Cellpose-SAM,0.85,0.9885057,0
8,Raw,Cellpose-SAM,0.9,0.9195402,0
9,Raw,Cellpose-SAM,0.95,0.13793103,0
10,Raw,Cellpose-SAM,1.0,0.0,0
0,Raw,microSAM,0.5,0.29965156,0
1,Raw,microSAM,0.55,0.29965156,0
2,Raw,microSAM,0.6,0.29965156,0
3,Raw,microSAM,0.65,0.29268292,0
4,Raw,microSAM,0.7,0.29268292,0
5,Raw,microSAM,0.75,0.29268292,0
6,Raw,microSAM,0.8,0.27874565,0
7,Raw,microSAM,0.85,0.2369338,0
8,Raw,microSAM,0.9,0.09059233,0
9,Raw,microSAM,0.95,0.0,0
10,Raw,microSAM,1.0,0.0,0
0,Raw,Cellpose3,0.5,1.0,0
1,Raw,Cellpose3,0.55,1.0,0
2,Raw,Cellpose3,0.6,1.0,0
3,Raw,Cellpose3,0.65,1.0,0
4,Raw,Cellpose3,0.7,0.97727275,0
5,Raw,Cellpose3,0.75,0.97727275,0
6,Raw,Cellpose3,0.8,0.95454544,0
7,Raw,Cellpose3,0.85,0.84090906,0
8,Raw,Cellpose3,0.9,0.5681818,0
9,Raw,Cellpose3,0.95,0.0,0
10,Raw,Cellpose3,1.0,0.0,0
0,Raw,Morphometrics,0.5,0.0,0
1,Raw,Morphometrics,0.55,0.0,0
2,Raw,Morphometrics,0.6,0.0,0
3,Raw,Morphometrics,0.65,0.0,0
4,Raw,Morphometrics,0.7,0.0,0
5,Raw,Morphometrics,0.75,0.0,0
6,Raw,Morphometrics,0.8,0.0,0
7,Raw,Morphometrics,0.85,0.0,0
8,Raw,Morphometrics,0.9,0.0,0
9,Raw,Morphometrics,0.95,0.0,0
10,Raw,Morphometrics,1.0,0.0,0
0,Raw,Omnipose,0.5,0.83760685,1
1,Raw,Omnipose,0.55,0.8091168,1
2,Raw,Omnipose,0.6,0.7863248,1
3,Raw,Omnipose,0.65,0.75213677,1
4,Raw,Omnipose,0.7,0.7065527,1
5,Raw,Omnipose,0.75,0.66096866,1
6,Raw,Omnipose,0.8,0.5982906,1
7,Raw,Omnipose,0.85,0.55270654,1
8,Raw,Omnipose,0.9,0.4045584,1
9,Raw,Omnipose,0.95,0.17663817,1
10,Raw,Omnipose,1.0,0.0,1
0,Raw,Cellpose-SAM,0.5,0.8742515,1
1,Raw,Cellpose-SAM,0.55,0.8622754,1
2,Raw,Cellpose-SAM,0.6,0.8622754,1
3,Raw,Cellpose-SAM,0.65,0.8622754,1
4,Raw,Cellpose-SAM,0.7,0.8622754,1
5,Raw,Cellpose-SAM,0.75,0.8622754,1
6,Raw,Cellpose-SAM,0.8,0.8263473,1
7,Raw,Cellpose-SAM,0.85,0.79041916,1
8,Raw,Cellpose-SAM,0.9,0.61676645,1
9,Raw,Cellpose-SAM,0.95,0.25748503,1
10,Raw,Cellpose-SAM,1.0,0.0,1
0,Raw,microSAM,0.5,0.2526636,1
1,Raw,microSAM,0.55,0.2283105,1
2,Raw,microSAM,0.6,0.21613394,1
3,Raw,microSAM,0.65,0.20395738,1
4,Raw,microSAM,0.7,0.1674277,1
5,Raw,microSAM,0.75,0.13089803,1
6,Raw,microSAM,0.8,0.10350076,1
7,Raw,microSAM,0.85,0.0913242,1
8,Raw,microSAM,0.9,0.05479452,1
9,Raw,microSAM,0.95,0.0,1
10,Raw,microSAM,1.0,0.0,1
0,Raw,Cellpose3,0.5,0.75722545,1
