Method,Length
FM2FM,4.224926207
FM2FM,4.76986253
FM2FM,4.027314541
FM2FM,4.579731686
FM2FM,4.05939875
FM2FM,4.397345288
FM2FM,7.87737609
FM2FM,5.246946609
FM2FM,4.450772366
FM2FM,8.562138645
FM2FM,5.932194205
FM2FM,10.30369808
FM2FM,9.35399063
FM2FM,5.10389224
FM2FM,2.912069293
FM2FM,4.449711201
FM2FM,4.212295133
FM2FM,4.562939002
FM2FM,4.371418123
FM2FM,4.042489965
FM2FM,4.988840086
FM2FM,4.858325284
FM2FM,5.013655152
FM2FM,5.015854225
FM2FM,4.208426989
FM2FM,6.128330559
FM2FM,5.07291517
FM2FM,4.796149896
FM2FM,8.891810537
FM2FM,4.521435225
FM2FM,4.707868284
FM2FM,4.772947188
FM2FM,5.943397088
FM2FM,8.85366448
FM2FM,4.141053062
FM2FM,0.622791655
FM2FM,0.724463022
FM2FM,5.088926334
FM2FM,6.298266983
FM2FM,3.924444236
FM2FM,3.200647704
FM2FM,6.324495229
FM2FM,3.347437615
FM2FM,3.783474246
FM2FM,3.20195946
FM2FM,7.332161684
FM2FM,4.504174388
FM2FM,6.917626811
FM2FM,5.046789078
FM2FM,4.243424986
FM2FM,4.381834632
FM2FM,6.271716752
FM2FM,4.482044168
FM2FM,4.764229494
FM2FM,4.452645783
FM2FM,3.930251547
FM2FM,3.149052077
FM2FM,5.212869099
FM2FM,4.405700497
FM2FM,4.083402388
FM2FM,4.972318825
FM2FM,6.940686644
FM2FM,4.119119736
FM2FM,4.383508874
FM2FM,5.189007411
FM2FM,4.960365847
FM2FM,6.407255646
FM2FM,7.75844077
FM2FM,3.193499422
FM2FM,2.762037549
FM2FM,3.536076401
FM2FM,6.181067516
FM2FM,3.325369278
FM2FM,7.81033756
FM2FM,4.924485671
FM2FM,4.941384453
FM2FM,2.875536323
FM2FM,8.647648223
FM2FM,5.671030262
FM2FM,3.001321864
FM2FM,5.243149663
FM2FM,4.46364949
FM2FM,7.929624743
FM2FM,4.420261881
FM2FM,7.871518094
FM2FM,8.208155888
