Method,Width
FM2FM,0.686855783
FM2FM,0.679470995
FM2FM,0.696509016
FM2FM,0.709312779
FM2FM,0.780210345
FM2FM,0.784938669
FM2FM,0.794043244
FM2FM,0.815550819
FM2FM,0.815886285
FM2FM,0.803434493
FM2FM,0.636562481
FM2FM,0.771279186
FM2FM,0.766994903
FM2FM,0.756459929
FM2FM,0.775240766
FM2FM,0.795447253
FM2FM,0.804636037
FM2FM,0.809614443
FM2FM,0.822431481
FM2FM,0.788364897
FM2FM,0.755281797
FM2FM,0.753202466
FM2FM,0.734208104
FM2FM,0.790062023
FM2FM,0.824532997
FM2FM,0.900156391
FM2FM,0.85150424
FM2FM,0.88145733
FM2FM,0.859057513
FM2FM,0.852577931
FM2FM,0.89150103
FM2FM,0.886114659
FM2FM,0.895417884
FM2FM,0.943876949
FM2FM,0.894395549
FM2FM,0.848302129
FM2FM,0.793719265
FM2FM,0.816460141
FM2FM,0.823947286
FM2FM,0.873527465
FM2FM,0.878765351
FM2FM,0.825451528
FM2FM,0.674620298
FM2FM,0.683369534
FM2FM,0.730088886
FM2FM,0.65810897
FM2FM,0.67845043
FM2FM,0.692887032
FM2FM,0.702345219
FM2FM,0.686380934
FM2FM,0.663181297
FM2FM,0.732071244
FM2FM,0.672120554
FM2FM,0.708653288
FM2FM,0.680341275
FM2FM,0.661281499
FM2FM,0.644804518
FM2FM,0.747080031
FM2FM,0.739715718
FM2FM,0.694650512
FM2FM,0.744421541
FM2FM,0.788769656
FM2FM,0.806677027
FM2FM,0.758517322
FM2FM,0.815775531
FM2FM,0.812590113
FM2FM,0.785198999
FM2FM,0.823138432
FM2FM,0.761133807
FM2FM,0.862186528
FM2FM,0.804530593
FM2FM,0.829475425
FM2FM,0.770961012
FM2FM,0.843405773
FM2FM,0.767081842
FM2FM,0.868193695
FM2FM,0.899224787
FM2FM,0.782374349
FM2FM,0.912089017
FM2FM,0.873826306
FM2FM,0.903612112
FM2FM,0.941725368
FM2FM,0.929522425
FM2FM,0.828395774
FM2FM,0.786504424
FM2FM,0.927315804
FM2FM,0.944885513
FM2FM,0.931067089
FM2FM,0.881570983
FM2FM,0.856427204
FM2FM,0.921964396
FM2FM,0.881797895
FM2FM,0.881267763
FM2FM,0.88938435
FM2FM,0.825316057
FM2FM,0.905643476
FM2FM,0.86551613
FM2FM,0.813280492
FM2FM,0.793228022
FM2FM,0.61196031
FM2FM,0.821911847
FM2FM,0.741461492
FM2FM,0.795117199
FM2FM,0.778925049
FM2FM,0.799672186
FM2FM,0.825852261
FM2FM,0.854852816
FM2FM,0.8246813
FM2FM,0.878702159
FM2FM,0.628064827
FM2FM,0.876792238
FM2FM,0.866731877
FM2FM,0.873066853
FM2FM,0.821836547
FM2FM,0.913881919
FM2FM,0.852428866
