Method,area_convex
FM2FM,2.815807002
FM2FM,3.327393799
FM2FM,2.844921698
FM2FM,3.231731227
FM2FM,3.265005165
FM2FM,3.597744545
FM2FM,6.613195175
FM2FM,4.433752237
FM2FM,3.676770148
FM2FM,7.074871065
FM2FM,3.64349621
FM2FM,4.42127451
FM2FM,10.97624029
FM2FM,10.92217014
FM2FM,3.888891502
FM2FM,2.295901721
FM2FM,3.485445004
FM2FM,3.489604247
FM2FM,4.354726634
FM2FM,3.585266818
FM2FM,3.393941675
FM2FM,1.031492078
FM2FM,3.360667737
FM2FM,3.972076347
FM2FM,3.797388173
FM2FM,4.134286795
FM2FM,3.734999539
FM2FM,5.540110675
FM2FM,4.363045119
FM2FM,4.358885876
FM2FM,7.981585875
FM2FM,3.863936049
FM2FM,4.259064063
FM2FM,4.125968311
FM2FM,4.687466014
FM2FM,8.326802982
FM2FM,3.710044086
FM2FM,0.216280597
FM2FM,0.307783926
FM2FM,4.200834671
FM2FM,5.527632948
FM2FM,3.140227898
FM2FM,2.562093225
FM2FM,5.581703098
FM2FM,2.81164776
FM2FM,3.123590929
FM2FM,2.18360218
FM2FM,5.935238689
FM2FM,3.352349252
FM2FM,4.18003846
FM2FM,3.601903787
FM2FM,3.456330309
FM2FM,3.123590929
FM2FM,5.211530537
FM2FM,3.285801376
FM2FM,3.918006198
FM2FM,0.216280597
FM2FM,2.212716876
FM2FM,0.915033295
FM2FM,0.141414236
FM2FM,3.356508495
FM2FM,2.84908094
FM2FM,1.642900688
FM2FM,3.277482892
FM2FM,0.066547876
FM2FM,2.994654419
FM2FM,3.131909413
FM2FM,3.947120894
FM2FM,5.764709756
FM2FM,3.165183351
FM2FM,3.664292421
FM2FM,4.354726634
FM2FM,3.822343626
FM2FM,5.140823419
FM2FM,6.563284268
FM2FM,2.557933983
FM2FM,2.23767233
FM2FM,2.990495177
FM2FM,5.452766588
FM2FM,2.703507462
FM2FM,6.633991386
FM2FM,3.830662111
FM2FM,4.504459355
FM2FM,2.187761423
FM2FM,9.025555679
FM2FM,5.506836737
FM2FM,2.316697932
FM2FM,4.916224338
FM2FM,4.367204361
FM2FM,7.923356483
FM2FM,4.030305739
FM2FM,9.104581282
FM2FM,6.95425304
FM2FM,5.427811134
FM2FM,4.184197702
FM2FM,4.167560733
FM2FM,3.92216544
FM2FM,3.826502869
FM2FM,4.870472673
FM2FM,4.125968311
FM2FM,3.489604247
FM2FM,4.005350285
FM2FM,4.533574051
FM2FM,4.491981628
FM2FM,4.724899194
FM2FM,4.184197702
FM2FM,4.820561766
FM2FM,3.64349621
FM2FM,1.019014351
FM2FM,6.513373361
FM2FM,3.676770148
FM2FM,3.822343626
FM2FM,3.223412743
FM2FM,3.289960619
FM2FM,4.071898161
FM2FM,7.411769687
FM2FM,4.046942708
FM2FM,8.613790697
FM2FM,1.414142365
FM2FM,3.655973936
FM2FM,3.389782433
FM2FM,3.368986221
FM2FM,3.43969334
FM2FM,2.911469574
FM2FM,3.431374855
FM2FM,3.572789091
FM2FM,2.986335934
FM2FM,4.171719975
FM2FM,2.624481859
FM2FM,4.787287828
FM2FM,4.246586336
FM2FM,5.673206427
FM2FM,3.71836257
FM2FM,2.562093225
FM2FM,3.319075314
FM2FM,4.820561766
FM2FM,2.300060963
FM2FM,2.067143398
FM2FM,4.446229964
FM2FM,2.911469574
FM2FM,0.374331802
FM2FM,4.991090698
FM2FM,7.960789664
FM2FM,5.224008264
FM2FM,8.584676001
FM2FM,8.106363142
FM2FM,6.650628355
FM2FM,7.494954532
FM2FM,6.746290927
FM2FM,3.260845923
FM2FM,3.402260159
FM2FM,3.456330309
FM2FM,4.982772214
FM2FM,7.806897701
FM2FM,3.240049712
FM2FM,3.136068655
FM2FM,5.120027208
FM2FM,8.501491156
FM2FM,3.75579575
FM2FM,6.467621696
FM2FM,4.313134212
FM2FM,7.677961191
FM2FM,4.146764522
FM2FM,5.685684154
FM2FM,8.813434325
FM2FM,10.01545533
FM2FM,4.288178758
FM2FM,5.598340067
FM2FM,4.71658071
FM2FM,5.652410216
FM2FM,4.412956026
FM2FM,10.01545533
FM2FM,8.135477838
FM2FM,7.311947873
FM2FM,5.515155222
FM2FM,10.82650757
FM2FM,7.619731799
FM2FM,4.05110195
FM2FM,7.644687253
FM2FM,10.10695866
FM2FM,4.591803442
FM2FM,4.067738919
FM2FM,4.304815727
FM2FM,3.302438345
FM2FM,3.980394832
FM2FM,4.404637541
FM2FM,3.18182032
FM2FM,2.270946268
FM2FM,3.522878185
FM2FM,3.38562319
FM2FM,3.289960619
FM2FM,3.664292421
FM2FM,3.427215613
FM2FM,3.289960619
FM2FM,9.004759468
FM2FM,3.227571985
FM2FM,3.215094258
FM2FM,6.554965784
FM2FM,3.535355911
FM2FM,3.676770148
FM2FM,3.714203328
FM2FM,4.833039493
FM2FM,7.203807574
FM2FM,5.82709839
FM2FM,2.412360504
FM2FM,4.758173132
FM2FM,2.042187944
FM2FM,3.086157748
FM2FM,5.398696439
FM2FM,5.814620663
FM2FM,2.770055338
FM2FM,2.487226865
FM2FM,13.7629326
FM2FM,3.165183351
FM2FM,3.05288381
FM2FM,9.017237195
FM2FM,6.026742018
FM2FM,5.910283235
FM2FM,6.130723074
FM2FM,3.223412743
FM2FM,1.526441905
FM2FM,0.582293915
FM2FM,3.360667737
FM2FM,5.199052811
FM2FM,1.963162341
FM2FM,0.952466475
FM2FM,0.781937543
FM2FM,9.844926402
FM2FM,0.482472101
FM2FM,7.166374394
FM2FM,7.087348792
FM2FM,8.73024948
FM2FM,6.721335474
FM2FM,5.120027208
FM2FM,4.8829504
FM2FM,5.144982661
FM2FM,4.379682088
FM2FM,10.41058335
FM2FM,6.005945807
FM2FM,3.406419402
FM2FM,4.275701031
FM2FM,3.210935016
FM2FM,4.379682088
FM2FM,5.652410216
FM2FM,6.19727095
FM2FM,5.498518253
FM2FM,6.080812167
FM2FM,4.795606313
FM2FM,5.169938115
FM2FM,5.473562799
FM2FM,6.484258665
FM2FM,6.941775313
FM2FM,6.421870032
FM2FM,7.224603786
FM2FM,6.812838803
FM2FM,5.847894601
FM2FM,4.437911479
FM2FM,4.34640815
FM2FM,4.695784499
FM2FM,2.874036394
FM2FM,3.689247874
FM2FM,7.740349825
FM2FM,6.908501375
FM2FM,2.416519746
FM2FM,3.572789091
FM2FM,3.152705624
FM2FM,3.518718942
FM2FM,3.169342593
FM2FM,3.47712652
FM2FM,2.616163374
FM2FM,4.903746611
FM2FM,3.373145464
FM2FM,3.2192535
FM2FM,3.152705624
FM2FM,3.759954993
FM2FM,4.941179791
FM2FM,7.923356483
FM2FM,3.639336967
FM2FM,3.651814694
FM2FM,4.412956026
FM2FM,3.734999539
FM2FM,8.085566931
FM2FM,4.525255566
FM2FM,3.606063029
FM2FM,3.377304706
FM2FM,5.203212053
FM2FM,4.571007231
FM2FM,5.174097357
FM2FM,4.712421468
FM2FM,4.317293454
