,Method,Block1,Block2
0,Raw FM 4-64,0.031331513,0.040061425
1,Raw FM 4-64,0.031035583,0.036177352
2,Raw FM 4-64,0.03125753,0.03732408
3,Raw FM 4-64,0.02807629,0.039654523
4,Raw FM 4-64,0.024821067,0.03477169
5,Raw FM 4-64,0.028816113,0.04464833
6,Raw FM 4-64,0.028668148,0.038803726
7,Raw FM 4-64,0.037841957,0.042243905
8,Raw FM 4-64,0.032108326,0.036732223
9,Raw FM 4-64,0.032589212,0.04657187
10,Raw FM 4-64,0.0363993,0.043094702
11,Raw FM 4-64,0.04272479,0.039765496
12,Raw FM 4-64,0.03865576,0.045943018
13,Raw FM 4-64,0.043982487,0.045240186
14,Raw FM 4-64,0.043168683,0.04501824
15,Raw FM 4-64,0.03895169,0.04335364
16,Raw FM 4-64,0.038877707,0.04531417
17,Raw FM 4-64,0.043242667,0.042502843
18,Raw FM 4-64,0.037509035,0.04109718
19,Raw FM 4-64,0.04442638,0.03802691
20,Raw FM 4-64,0.044870276,0.040357355
21,Raw FM 4-64,0.043094702,0.041541073
22,Raw FM 4-64,0.04246585,0.037435055
23,Raw FM 4-64,0.0393216,0.035548504
24,Raw FM 4-64,0.039062664,0.031997353
25,Raw FM 4-64,0.03196036,0.028890096
26,Raw FM 4-64,0.034327798,0.029740892
27,Raw FM 4-64,0.032145318,0.029925847
28,Raw FM 4-64,0.030887619,0.033698946
29,Raw FM 4-64,0.03351399,0.026707618
30,Raw FM 4-64,0.028668148,0.029186025
31,Raw FM 4-64,0.028298236,0.029223016
32,Raw FM 4-64,0.031923372,0.027854344
33,Raw FM 4-64,0.030036822,0.028779121
34,Raw FM 4-64,0.028668148,0.027299475
35,Raw FM 4-64,0.030480715,0.024155227
36,Raw FM 4-64,0.029629918,0.025819829
37,Raw FM 4-64,0.032367263,0.025116997
38,Raw FM 4-64,0.032996114,0.023526378
39,Raw FM 4-64,0.034253813,0.026633635
40,Raw FM 4-64,0.033107087,0.022231687
41,Raw FM 4-64,0.031627443,0.025264962
42,Raw FM 4-64,0.031627443,0.020197174
43,Raw FM 4-64,0.034364786,0.022712572
44,Raw FM 4-64,0.036547266,0.022934519
45,Raw FM 4-64,0.03736107,0.024192218
46,Raw FM 4-64,0.035918415,0.028150272
47,Raw FM 4-64,0.035363548,0.026004786
48,Raw FM 4-64,0.034697708,0.024784077
