Method,eccentricity
FM2FM,0.98467271
FM2FM,0.988185109
FM2FM,0.981580082
FM2FM,0.985645272
FM2FM,0.978878813
FM2FM,0.980804572
FM2FM,0.993586642
FM2FM,0.985503547
FM2FM,0.97890721
FM2FM,0.994719041
FM2FM,0.97616121
FM2FM,0.985816235
FM2FM,0.994552898
FM2FM,0.991034057
FM2FM,0.987546372
FM2FM,0.955644936
FM2FM,0.982804994
FM2FM,0.980769687
FM2FM,0.978879238
FM2FM,0.980943396
FM2FM,0.978022868
FM2FM,0.981142807
FM2FM,0.980395305
FM2FM,0.986459754
FM2FM,0.985004973
FM2FM,0.976664351
FM2FM,0.988697642
FM2FM,0.983919512
FM2FM,0.980527484
FM2FM,0.994554555
FM2FM,0.97859821
FM2FM,0.977522523
FM2FM,0.973388685
FM2FM,0.97978945
FM2FM,0.992648806
FM2FM,0.971876871
FM2FM,0.981673452
FM2FM,0.991918835
FM2FM,0.974446445
FM2FM,0.960005912
FM2FM,0.988613737
FM2FM,0.963353122
FM2FM,0.971751078
FM2FM,0.972154903
FM2FM,0.994677751
FM2FM,0.983765295
FM2FM,0.976524854
FM2FM,0.990297475
FM2FM,0.980944091
FM2FM,0.984099624
FM2FM,0.989581933
FM2FM,0.986255726
FM2FM,0.987154073
FM2FM,0.984840251
FM2FM,0.905851297
FM2FM,0.985991609
FM2FM,0.980155305
FM2FM,0.95944897
FM2FM,0.988342118
FM2FM,0.908339948
FM2FM,0.986296162
FM2FM,0.980882628
FM2FM,0.986583646
FM2FM,0.992673232
FM2FM,0.979073138
FM2FM,0.981523892
FM2FM,0.987790892
FM2FM,0.985133219
FM2FM,0.990737199
FM2FM,0.993471258
FM2FM,0.963592141
FM2FM,0.950322619
FM2FM,0.971536396
FM2FM,0.988129109
FM2FM,0.959862694
FM2FM,0.993453635
FM2FM,0.984577596
FM2FM,0.982506809
FM2FM,0.950575126
FM2FM,0.992815866
FM2FM,0.984677965
FM2FM,0.959256273
FM2FM,0.98336786
FM2FM,0.980255126
FM2FM,0.992040519
FM2FM,0.973087011
FM2FM,0.988059084
FM2FM,0.993665109
FM2FM,0.990352546
FM2FM,0.971621615
FM2FM,0.971874873
FM2FM,0.97161537
FM2FM,0.975175414
FM2FM,0.984645331
FM2FM,0.9758413
FM2FM,0.968962368
FM2FM,0.977671499
FM2FM,0.982724229
FM2FM,0.986248883
FM2FM,0.980947877
FM2FM,0.980376146
FM2FM,0.988148186
FM2FM,0.983573621
FM2FM,0.993091114
FM2FM,0.985398234
FM2FM,0.982287766
FM2FM,0.97080362
FM2FM,0.976818635
FM2FM,0.986486891
FM2FM,0.991965032
FM2FM,0.985089714
FM2FM,0.993668228
FM2FM,0.903825694
FM2FM,0.973173413
FM2FM,0.969066269
FM2FM,0.971375573
FM2FM,0.977406744
FM2FM,0.95441139
FM2FM,0.963193028
FM2FM,0.974912123
FM2FM,0.962153785
FM2FM,0.982950636
FM2FM,0.958669517
FM2FM,0.982418523
FM2FM,0.975119417
FM2FM,0.99255179
FM2FM,0.968419597
