Method,solidity
FM2FM,0.940915805
FM2FM,0.91125
FM2FM,0.921052632
FM2FM,0.927927928
FM2FM,0.913375796
FM2FM,0.912138728
FM2FM,0.875471698
FM2FM,0.899624765
FM2FM,0.918552036
FM2FM,0.911816578
FM2FM,0.630136986
FM2FM,0.809971778
FM2FM,0.675255779
FM2FM,0.928342246
FM2FM,0.945652174
FM2FM,0.941527446
FM2FM,0.932061979
FM2FM,0.811843362
FM2FM,0.947795824
FM2FM,0.895833333
FM2FM,0.891129032
FM2FM,0.922029703
FM2FM,0.815706806
FM2FM,0.895947426
FM2FM,0.898390342
FM2FM,0.881959911
FM2FM,0.942192192
FM2FM,0.940896092
FM2FM,0.900763359
FM2FM,0.895257947
FM2FM,0.922497309
FM2FM,0.908203125
FM2FM,0.939516129
FM2FM,0.942324756
FM2FM,0.927072927
FM2FM,0.929372197
FM2FM,0.884615385
FM2FM,0.945945946
FM2FM,0.936633663
FM2FM,0.898419865
FM2FM,0.931125828
FM2FM,0.939935065
FM2FM,0.909836066
FM2FM,0.949704142
FM2FM,0.937416778
FM2FM,0.921904762
FM2FM,0.798177996
FM2FM,0.904466501
FM2FM,0.68358209
FM2FM,0.893764434
FM2FM,0.791817088
FM2FM,0.901464714
FM2FM,0.752593775
FM2FM,0.839240506
FM2FM,0.856687898
FM2FM,0.884615385
FM2FM,0.87593985
FM2FM,0.840909091
FM2FM,0.705882353
FM2FM,0.8488228
FM2FM,0.908029197
FM2FM,0.974683544
FM2FM,0.912436548
FM2FM,0.9375
FM2FM,0.918055556
FM2FM,0.88313413
FM2FM,0.87776607
FM2FM,0.784271284
FM2FM,0.884362681
FM2FM,0.876276958
FM2FM,0.906399236
FM2FM,0.930359086
FM2FM,0.928802589
FM2FM,0.88973384
FM2FM,0.944715447
FM2FM,0.955390335
FM2FM,0.95132128
FM2FM,0.90617849
FM2FM,0.947692308
FM2FM,0.907836991
FM2FM,0.916395223
FM2FM,0.868882733
FM2FM,0.941064639
FM2FM,0.780645161
FM2FM,0.873867069
FM2FM,0.951526032
FM2FM,0.920473773
FM2FM,0.912380952
FM2FM,0.849868766
FM2FM,0.949432405
FM2FM,0.759250799
FM2FM,0.901315789
FM2FM,0.861302682
FM2FM,0.908548708
FM2FM,0.923153693
FM2FM,0.943796394
FM2FM,0.934782609
FM2FM,0.903501281
FM2FM,0.932459677
FM2FM,0.904648391
FM2FM,0.94184839
FM2FM,0.933027523
FM2FM,0.926851852
FM2FM,0.920774648
FM2FM,0.929423459
FM2FM,0.89732528
FM2FM,0.941780822
FM2FM,0.942857143
FM2FM,0.90357599
FM2FM,0.914027149
FM2FM,0.910772579
FM2FM,0.907096774
FM2FM,0.936788875
FM2FM,0.963227783
FM2FM,0.826599327
FM2FM,0.952723535
FM2FM,0.815548044
FM2FM,0.882352941
FM2FM,0.921501706
FM2FM,0.927607362
FM2FM,0.930864198
FM2FM,0.935912938
FM2FM,0.941428571
FM2FM,0.926060606
FM2FM,0.938300349
FM2FM,0.938718663
FM2FM,0.95114656
FM2FM,0.94770206
FM2FM,0.907037359
FM2FM,0.903036239
FM2FM,0.923753666
FM2FM,0.926174497
FM2FM,0.944805195
FM2FM,0.948621554
FM2FM,0.909404659
FM2FM,0.938517179
FM2FM,0.931589537
FM2FM,0.909260992
FM2FM,0.932857143
FM2FM,0.933333333
FM2FM,0.908333333
FM2FM,0.894984326
FM2FM,0.917993631
FM2FM,0.79748062
FM2FM,0.800410467
FM2FM,0.914321451
FM2FM,0.88845727
FM2FM,0.913686806
FM2FM,0.933673469
FM2FM,0.916870416
FM2FM,0.896510229
FM2FM,0.913188648
FM2FM,0.798082046
FM2FM,0.940949936
FM2FM,0.901856764
FM2FM,0.91226645
FM2FM,0.700097847
FM2FM,0.894795127
FM2FM,0.897106109
FM2FM,0.924783028
FM2FM,0.721018418
FM2FM,0.919759278
FM2FM,0.839795172
FM2FM,0.6446437
FM2FM,0.651578073
FM2FM,0.886517944
FM2FM,0.735449735
FM2FM,0.888153054
FM2FM,0.783223374
FM2FM,0.638548057
FM2FM,0.791240046
FM2FM,0.92081448
FM2FM,0.763100437
FM2FM,0.743326489
FM2FM,0.715995647
FM2FM,0.644032922
FM2FM,0.849637681
FM2FM,0.874233129
FM2FM,0.727536232
FM2FM,0.91813602
FM2FM,0.821316614
FM2FM,0.796033994
FM2FM,0.870588235
FM2FM,0.934065934
FM2FM,0.936245573
FM2FM,0.916461916
FM2FM,0.855878635
FM2FM,0.913734393
FM2FM,0.928398058
FM2FM,0.92414665
FM2FM,0.920103093
FM2FM,0.886157827
FM2FM,0.687817259
FM2FM,0.909411765
FM2FM,0.840497738
FM2FM,0.949608063
FM2FM,0.897590361
FM2FM,0.753464203
FM2FM,0.766595289
FM2FM,0.944827586
FM2FM,0.694055944
FM2FM,0.914460285
FM2FM,0.919137466
FM2FM,0.80431433
FM2FM,0.744635193
FM2FM,0.929429429
FM2FM,0.904682274
FM2FM,0.929040736
FM2FM,0.904632153
FM2FM,0.792270531
FM2FM,0.882477129
FM2FM,0.867028494
FM2FM,0.881290323
FM2FM,0.940054496
FM2FM,0.757142857
FM2FM,0.840346535
FM2FM,0.8224
FM2FM,0.934322034
FM2FM,0.956331878
FM2FM,0.946808511
FM2FM,0.948275862
FM2FM,0.647707487
FM2FM,0.76056338
FM2FM,0.676989042
FM2FM,0.810024752
FM2FM,0.872461413
FM2FM,0.922487223
FM2FM,0.854486661
FM2FM,0.933523267
FM2FM,0.796244507
FM2FM,0.916897507
FM2FM,0.925518926
FM2FM,0.928988327
FM2FM,0.928756477
FM2FM,0.929724596
FM2FM,0.896983076
FM2FM,0.939597315
FM2FM,0.907715582
FM2FM,0.902188782
FM2FM,0.922810061
FM2FM,0.948511665
FM2FM,0.900455927
FM2FM,0.925593329
FM2FM,0.847813062
FM2FM,0.954015544
FM2FM,0.874496258
FM2FM,0.904761905
FM2FM,0.951635846
FM2FM,0.950328022
FM2FM,0.919617225
FM2FM,0.937998229
FM2FM,0.936324168
FM2FM,0.9210823
FM2FM,0.892530897
FM2FM,0.899458158
FM2FM,0.905335628
FM2FM,0.917345751
FM2FM,0.944591029
FM2FM,0.938534279
FM2FM,0.943569554
FM2FM,0.928229665
FM2FM,0.933227345
FM2FM,0.929601357
FM2FM,0.935881628
FM2FM,0.919896641
FM2FM,0.940633245
FM2FM,0.928097345
FM2FM,0.926767677
FM2FM,0.865616798
FM2FM,0.928
FM2FM,0.929384966
FM2FM,0.917059378
FM2FM,0.949888641
FM2FM,0.879115226
FM2FM,0.926470588
FM2FM,0.973471742
FM2FM,0.945812808
FM2FM,0.888888889
FM2FM,0.910828025
FM2FM,0.868167203
FM2FM,0.907325684
FM2FM,0.897880539
FM2FM,0.945525292
FM2FM,0.857028112
FM2FM,0.932780083
FM2FM,0.882889734
FM2FM,0.906497623
FM2FM,0.929032258
FM2FM,0.877659574
FM2FM,0.927937916
FM2FM,0.950207469
FM2FM,0.918070444
FM2FM,0.934065934
FM2FM,0.86993725
FM2FM,0.888341544
FM2FM,0.794459834
FM2FM,0.875820293
FM2FM,0.79439941
FM2FM,0.965665236
FM2FM,0.696816208
FM2FM,0.693133047
FM2FM,0.669435216
FM2FM,0.863137816
FM2FM,0.919220056
FM2FM,0.921641791
FM2FM,0.895454545
FM2FM,0.838990826
FM2FM,0.919529837
FM2FM,0.803118908
FM2FM,0.882556131
FM2FM,0.854597003
FM2FM,0.901544402
FM2FM,0.830550918
FM2FM,0.933568905
FM2FM,0.694148936
FM2FM,0.878443114
FM2FM,0.923941227
FM2FM,0.939037433
FM2FM,0.93258427
FM2FM,0.813411079
FM2FM,0.885780886
FM2FM,0.804738562
FM2FM,0.829234013
FM2FM,0.936279548
FM2FM,0.934256055
FM2FM,0.949928469
FM2FM,0.833670374
FM2FM,0.89072327
FM2FM,0.945981555
FM2FM,0.924261874
FM2FM,0.893687708
FM2FM,0.78429934
FM2FM,0.71136131
FM2FM,0.733014354
FM2FM,0.916067146
FM2FM,0.942857143
FM2FM,0.927325581
FM2FM,0.897386254
FM2FM,0.905982906
FM2FM,0.908585056
FM2FM,0.94214876
FM2FM,0.942508711
FM2FM,0.910121457
FM2FM,0.781725888
FM2FM,0.867647059
FM2FM,0.879518072
FM2FM,0.773371105
FM2FM,0.847586791
FM2FM,0.811272417
FM2FM,0.930446194
FM2FM,0.798101812
FM2FM,0.807314897
FM2FM,0.798878205
FM2FM,0.940571429
FM2FM,0.895635674
FM2FM,0.860635697
FM2FM,0.930521092
FM2FM,0.942196532
FM2FM,0.790144435
FM2FM,0.846984698
FM2FM,0.882113821
FM2FM,0.927392739
FM2FM,0.917655269
FM2FM,0.921568627
FM2FM,0.810661765
FM2FM,0.824626866
FM2FM,0.946428571
FM2FM,0.939690302
FM2FM,0.915878023
FM2FM,0.896245059
FM2FM,0.921156373
FM2FM,0.74925816
FM2FM,0.935409458
FM2FM,0.900447427
FM2FM,0.805392732
FM2FM,0.715846995
FM2FM,0.886587771
FM2FM,0.927710843
FM2FM,0.919191919
FM2FM,0.913644214
FM2FM,0.823389021
FM2FM,0.669965076
FM2FM,0.918446602
FM2FM,0.893739703
FM2FM,0.651593011
FM2FM,0.878524946
FM2FM,0.925816024
FM2FM,0.932277924
FM2FM,0.737111008
FM2FM,0.905940594
FM2FM,0.922628952
FM2FM,0.914877301
FM2FM,0.906327034
FM2FM,0.849773243
FM2FM,0.753140097
FM2FM,0.891621829
FM2FM,0.879107254
FM2FM,0.77221404
FM2FM,0.929856115
FM2FM,0.940954774
FM2FM,0.936386768
FM2FM,0.931572629
FM2FM,0.928774929
FM2FM,0.900672143
FM2FM,0.938325991
FM2FM,0.878504673
FM2FM,0.908433735
FM2FM,0.908587258
FM2FM,0.886666667
FM2FM,0.774471417
FM2FM,0.913369714
FM2FM,0.858125537
FM2FM,0.803809524
FM2FM,0.762289981
FM2FM,0.934911243
FM2FM,0.871652816
FM2FM,0.893965517
FM2FM,0.949229374
FM2FM,0.930890924
FM2FM,0.93011811
FM2FM,0.907569721
FM2FM,0.848760331
FM2FM,0.941666667
FM2FM,0.89976322
FM2FM,0.798043326
FM2FM,0.930936613
FM2FM,0.939814815
FM2FM,0.843397478
FM2FM,0.927721866
FM2FM,0.889393939
FM2FM,0.906284454
FM2FM,0.90019698
FM2FM,0.852387844
FM2FM,0.899454404
FM2FM,0.89790795
FM2FM,0.814643799
FM2FM,0.749868628
FM2FM,0.915157293
FM2FM,0.934701493
FM2FM,0.845538462
FM2FM,0.868480726
FM2FM,0.901821061
FM2FM,0.916580844
FM2FM,0.863354037
FM2FM,0.767813863
FM2FM,0.91918429
FM2FM,0.910994764
FM2FM,0.938061938
FM2FM,0.942880129
FM2FM,0.926116838
FM2FM,0.838150289
FM2FM,0.726912181
FM2FM,0.726978998
FM2FM,0.838826367
FM2FM,0.926765475
FM2FM,0.787732042
FM2FM,0.743746187
FM2FM,0.898318043
FM2FM,0.801663468
FM2FM,0.650285213
FM2FM,0.861611374
FM2FM,0.785858586
FM2FM,0.901453958
FM2FM,0.936888889
FM2FM,0.932573599
FM2FM,0.792438272
