,Cell,Z,L,w
0,1,1,2.2507447711072603,0.39445208975378987
1,1,2,3.9321249647553027,0.33081966595834694
2,1,3,4.2168072534849115,0.37767966102886735
3,1,4,4.163380176025694,0.44718559791813367
4,1,5,4.319078089755303,0.48332190417966714
5,1,6,4.512554652255302,0.5248429013408453
6,1,7,4.68059235365339,0.5655234265077138
7,1,8,4.854399560249844,0.5589399414943896
8,1,9,5.092464644978184,0.6063305134259821
9,1,10,5.086078659941399,0.6415053244294338
10,1,11,5.044140580944128,0.6883436968342225
11,1,12,5.0520799320337675,0.7189061481390462
12,1,13,5.014464111210002,0.7325216979952468
13,1,14,5.036973840655688,0.7489855863200189
14,1,15,5.173124955944128,0.7395981572160135
15,1,16,5.036973840655688,0.7456632170673777
16,1,17,5.14441938560142,0.7416560426905849
17,1,18,5.050526565980913,0.7126205014916615
18,1,19,9.382883900079468,0.6330797309143243
19,1,20,4.965274642382999,0.6049364753631399
120,7,1,5.622247907278267,0.5422242235592302
121,7,2,5.817423035827127,0.5658112221385689
122,7,3,5.926314166502417,0.610457439058092
123,7,4,5.888156008367906,0.660084089573506
124,7,5,5.71387752192904,0.6884901552486703
125,7,6,5.797753679923582,0.7137494849220442
126,7,7,5.87347380541099,0.7430557309354698
127,7,8,5.808818789964365,0.7458114142097345
128,7,9,6.078700426847474,0.7442703274506983
129,7,10,5.756939024583886,0.7354938994950521
130,7,11,5.831372898467093,0.7040349318521923
131,7,12,5.728678173775538,0.6251786487831004
132,7,13,5.595958256969822,0.5240355007498244
133,7,14,5.466549993548658,0.37546337490403275
134,7,15,2.3575989260256947,0.26803896275985917
135,7,16,0.5960781161888258,0.17030803319680737
260,14,1,5.983074209916447,0.6865785046748596
261,14,2,6.1745145267003325,0.6913903068681073
262,14,3,6.079399962083885,0.7081972665997036
263,14,4,6.09504839077271,0.7072709775534018
264,14,5,6.111895756969821,0.7074143985145219
265,14,6,5.884933759256317,0.7012526722883312
266,14,7,5.880803373646056,0.6581036439377886
267,14,8,5.6448020157809955,0.5488968323927573
268,14,9,4.921014202219867,0.42444456417151455
269,14,10,3.898929634632954,0.2932952651110793
270,14,11,0.3758880149592172,0.1423411443648043
275,14,16,6.229815021929038,0.6756217965057918
276,14,17,6.229815021929038,0.6756217965057918
277,14,18,6.229815021929038,0.6756217965057918
278,14,19,6.229815021929038,0.6756217965057918
279,14,20,6.229815021929038,0.6756217965057918
