,Image,Scale (px to nm),Size (px),Size (nm)
0,3490001.tif,1.9,316.06,600514.0
1,3490002.tif,1.9,325.12,617728.0
2,3490003.tif,1.9,334.41,635379.0
3,3490006.tif,1.9,348.84,662796.0
4,3490007.tif,1.9,296.65,563635.0
5,3490008.tif,1.9,324.0,615.6
6,3490008.tif,1.9,300.34,570646.0
7,3490009.tif,1.9,347.99,661181.0
8,3490010.tif,1.9,353.48,671612.0
9,3490011.tif,1.9,324.39,616341.0
10,3490012.tif,1.9,334.57,635683.0
11,3490013.tif,1.9,233.85,444315.0
12,3490014.tif,1.9,326.11,619609.0
13,3490015.tif,1.9,302.26,574294.0
14,3490016.tif,1.9,374.57,711683.0
15,3490016.tif,1.9,372.36,707484.0
16,3490017.tif,1.9,296.78,563882.0
17,3490019.tif,1.9,341.76,649344.0
18,3490020.tif,1.9,319.11,606309.0
19,3490021.tif,1.9,356.72,677768.0
20,3490022.tif,1.9,324.73,616987.0
21,3490023.tif,1.9,337.9,642.01
22,349_30001.tif,1.9,326.85,621015.0
23,349_30003.tif,1.9,249.13,473347.0
24,349_30004.tif,1.9,300.27,570513.0
25,349_30005.tif,1.9,350.29,665551.0
26,mj0007_30011.tif,1.9,352.11,669009.0
27,mj0070003.tif,1.9,379.47,720993.0
28,mj0070004.tif,1.9,353.29,671251.0
29,mj007_20002.tif,1.9,331.6,630.04
30,mj007_20003.tif,1.9,317.83,603877.0
31,mj007_20004.tif,1.9,385.49,732431.0
32,mj007_20005.tif,1.9,302.58,574902.0
33,mj007_20006.tif,1.9,255.16,484804.0
34,mj007_20007.tif,1.9,373.75,710125.0
35,mj007_20008.tif,1.9,360.29,684551.0
36,mj007_20009.tif,1.9,314.07,596733.0
37,mj007_20009.tif,1.9,324.1,615.79
38,mj007_20018.tif,1.9,326.29,619951.0
39,mj007_30002.tif,1.9,358.64,681416.0
40,mj007_30003.tif,1.9,335.27,637013.0
41,mj007_30004.tif,1.9,324.48,616512.0
42,mj007_30005.tif,1.9,332.0,630.8
43,mj007_30006.tif,1.9,316.32,601008.0
44,mj007_30008.tif,1.9,380.2,722.38
45,mj007_30012.tif,1.9,331.03,628957.0
46,mj007_30015.tif,1.9,344.4,654.36
47,mj007_30015.tif,1.9,340.63,647197.0
48,mj007_30016.tif,1.9,320.13,608247.0
49,slicer000.tif,1.9,320.6,609.14
50,slicer000.tif,1.9,325.19,617861.0
