,Strain,Method,Width_mu,Width_sigma
0,∆ponA,Cryo-EM,0.600514,
1,∆ponA,Cryo-EM,0.6177279999999999,
2,∆ponA,Cryo-EM,0.635379,
3,∆ponA,Cryo-EM,0.6627959999999999,
4,∆ponA,Cryo-EM,0.5636349999999999,
5,∆ponA,Cryo-EM,0.6156,
6,∆ponA,Cryo-EM,0.570646,
7,∆ponA,Cryo-EM,0.661181,
8,∆ponA,Cryo-EM,0.671612,
9,∆ponA,Cryo-EM,0.6163409999999999,
10,∆ponA,Cryo-EM,0.635683,
11,∆ponA,Cryo-EM,0.44431499999999996,
12,∆ponA,Cryo-EM,0.6196090000000001,
13,∆ponA,Cryo-EM,0.574294,
14,∆ponA,Cryo-EM,0.711683,
15,∆ponA,Cryo-EM,0.707484,
16,∆ponA,Cryo-EM,0.563882,
17,∆ponA,Cryo-EM,0.6493439999999999,
18,∆ponA,Cryo-EM,0.606309,
19,∆ponA,Cryo-EM,0.677768,
20,∆ponA,Cryo-EM,0.616987,
21,∆ponA,Cryo-EM,0.6420099999999999,
22,∆ponA,Cryo-EM,0.621015,
23,∆ponA,Cryo-EM,0.47334699999999996,
24,∆ponA,Cryo-EM,0.5705129999999999,
25,∆ponA,Cryo-EM,0.665551,
26,∆ponA,Cryo-EM,0.669009,
27,∆ponA,Cryo-EM,0.7209930000000001,
28,∆ponA,Cryo-EM,0.6712509999999999,
29,∆ponA,Cryo-EM,0.6300399999999999,
30,∆ponA,Cryo-EM,0.603877,
31,∆ponA,Cryo-EM,0.7324309999999999,
32,∆ponA,Cryo-EM,0.5749019999999999,
33,∆ponA,Cryo-EM,0.48480399999999996,
34,∆ponA,Cryo-EM,0.710125,
35,∆ponA,Cryo-EM,0.684551,
36,∆ponA,Cryo-EM,0.596733,
37,∆ponA,Cryo-EM,0.61579,
38,∆ponA,Cryo-EM,0.619951,
39,∆ponA,Cryo-EM,0.6814159999999999,
40,∆ponA,Cryo-EM,0.6370129999999999,
41,∆ponA,Cryo-EM,0.6165120000000001,
42,∆ponA,Cryo-EM,0.6307999999999999,
43,∆ponA,Cryo-EM,0.6010079999999999,
44,∆ponA,Cryo-EM,0.72238,
45,∆ponA,Cryo-EM,0.6289569999999999,
46,∆ponA,Cryo-EM,0.6543599999999999,
47,∆ponA,Cryo-EM,0.647197,
48,∆ponA,Cryo-EM,0.608247,
49,∆ponA,Cryo-EM,0.60914,
50,∆ponA,Cryo-EM,0.617861,
51,PY79,Cryo-EM,0.7660377358490567,
52,PY79,Cryo-EM,0.8716981132075472,
53,PY79,Cryo-EM,0.805607476635514,
54,PY79,Cryo-EM,0.7514018691588785,
55,PY79,Cryo-EM,0.7757009345794392,
56,PY79,Cryo-EM,0.8438095238095238,
57,PY79,Cryo-EM,0.8461538461538461,
58,PY79,Cryo-EM,0.8072727272727273,
59,PY79,Cryo-EM,0.8093457943925233,
60,PY79,Cryo-EM,0.7962264150943396,
61,PY79,Cryo-EM,0.8133333333333334,
62,PY79,Cryo-EM,0.8246913580246913,
63,PY79,Cryo-EM,0.8395061728395061,
64,PY79,Cryo-EM,0.8728971962616822,
65,PY79,Cryo-EM,0.7674418604651163,
66,PY79,Cryo-EM,0.7518518518518519,
67,PY79,Cryo-EM,0.8679245283018868,
68,PY79,Cryo-EM,0.8093457943925233,
69,PY79,Cryo-EM,0.9117757009345796,
70,PY79,Cryo-EM,0.8542056074766354,
71,PY79,Cryo-EM,0.8373831775700935,
72,PY79,Cryo-EM,0.805607476635514,
73,PY79,Cryo-EM,0.6285714285714286,
74,PY79,Cryo-EM,0.8933333333333334,
75,∆ponA,FM,0.5460639081684603,0.001446012583357684
76,∆ponA,FM,0.41999017623893214,0.0021184525063347643
77,∆ponA,FM,0.5447256262248587,0.0015091731114314337
78,∆ponA,FM,0.4868656971389121,0.001794429187433021
79,∆ponA,FM,0.5445820047289814,0.0014723902518366525
80,∆ponA,FM,0.4306694398453012,0.0020458350514176685
81,∆ponA,FM,0.47487871582307073,0.001796479643129686
82,∆ponA,FM,0.4920011178716235,0.0018134163904937862
83,∆ponA,FM,0.5343040094573174,0.0015444286607832287
84,∆ponA,FM,0.5754954033769548,0.0014048368261097045
85,∆ponA,FM,0.5342147601978335,0.001663542340492445
86,∆ponA,FM,0.46512881363724873,0.0018861380254098573
87,∆ponA,FM,0.5470664908931565,0.0013754440897628078
88,∆ponA,FM,0.4789208444901394,0.0018559389337175554
89,∆ponA,FM,0.4462983452643832,0.0019187910154361606
90,∆ponA,FM,0.4902303965233541,0.0018977922897359062
91,∆ponA,FM,0.5352709373128225,0.001613511761189573
