,Bacillus subtilis subspecies subtilis PY79,Priestia megaterium 1060,Priestia megaterium 899,Priestia megaterium DSM 319,Priestia megaterium KM,Priestia megaterium QM B1551,Priestia megaterium WH320,Time
0,-1.9591751787329061,-2.0593697982576096,-2.2866669719066333,-2.030473491641551,-2.184345942461105,-2.0328329466639357,-2.0487453382422953,0.0
1,-1.9669790980506456,-2.0482089961489236,-2.286249363212187,-2.041598832630901,-2.19876390657022,-2.0344739866809474,-2.0487811186050275,0.08333333333333333
2,-1.974795935998085,-2.0382840135615234,-2.284981253467209,-2.05046783867856,-2.2118961768585397,-2.0359278858476535,-2.0480855643506137,0.16666666666666666
3,-1.9825806071913479,-2.029540202952146,-2.282881983380837,-2.05714040239527,-2.2237659555681413,-2.037181277045306,-2.046670307950771,0.25
4,-1.990288026246563,-2.0219229167775294,-2.279970893662212,-2.0616764163917756,-2.2343964449411,-2.038220793155162,-2.0445469818772057,0.3333333333333333
5,-1.9978731077798582,-2.015377507494412,-2.2762673250204757,-2.064135773278824,-2.243810847219489,-2.0390330670584755,-2.041727218601632,0.4166666666666667
6,-2.0052907664073576,-2.0098493275595293,-2.2717906181647676,-2.0645783656671557,-2.252032364645386,-2.039604731636501,-2.0382226505957606,0.5
7,-2.0124959167451912,-2.005283729429621,-2.26656011380423,-2.063064086167519,-2.2590841994608666,-2.0399224197704946,-2.0340449103313034,0.5833333333333334
8,-2.0194434734094844,-2.001626065561424,-2.2605951526480017,-2.0596528273906576,-2.2649895539080047,-2.0399727643417105,-2.0292056302799706,0.6666666666666666
9,-2.0260883510163645,-1.998821688411676,-2.2539150754052253,-2.0544044819473153,-2.2697716302288775,-2.0397423982314042,-2.0237164429134755,0.75
10,-2.0323854641819583,-1.996815950437114,-2.2465392227850405,-2.0473789424482383,-2.2734536306655593,-2.0392179543208298,-2.017588980703528,0.8333333333333334
11,-2.038289727522393,-1.995554204094477,-2.238486935496588,-2.0386361015041694,-2.2760587574601248,-2.038386065491244,-2.010834876121839,0.9166666666666666
12,-2.0437560556537955,-1.9949818018405012,-2.2297775542490093,-2.0282358517258543,-2.277610212854652,-2.0372333646238996,-2.0034657616401224,1.0
13,-2.0487393631922934,-1.9950440961319251,-2.2204304197514437,-2.016238085724038,-2.2781311990912143,-2.035746484600053,-1.9954932697300878,1.0833333333333333
14,-2.053194564754013,-1.9956864394254863,-2.210464872713033,-2.002702696109465,-2.277644918411888,-2.033912058300959,-1.9869290328634477,1.1666666666666667
15,-2.057076574955081,-1.9968541841779226,-2.1999002538429173,-1.9876895754928796,-2.276174573058748,-2.0317167186078726,-1.9777846835119126,1.25
16,-2.060340308411625,-1.9984926828459713,-2.188755903850239,-1.971258616485027,-2.27374336527387,-2.0291470984020488,-1.968071854147194,1.3333333333333333
17,-2.0629406797397714,-2.000547287886369,-2.177051163444136,-1.9534697116966508,-2.27037449729933,-2.026189830564742,-1.9578021772410032,1.4166666666666667
18,-2.064832603555648,-2.002963351755856,-2.1648053733337513,-1.9343827537384972,-2.266091171377203,-2.0228315479772077,-1.9469872852650532,1.5
19,-2.0659709944753817,-2.005686226911167,-2.1520378742282245,-1.9140576352213101,-2.260916589749564,-2.0190588835207004,-1.9356388106910536,1.5833333333333333
20,-2.066310767115099,-2.008661265809042,-2.1387680068366963,-1.892554248755834,-2.25487395465849,-2.0148584700764762,-1.9237683859907169,1.6666666666666667
21,-2.065806836090926,-2.011833820906217,-2.125015111868308,-1.8699324869528136,-2.2479864683460553,-2.0102169405257886,-1.911387643635754,1.75
22,-2.064414116018992,-2.015149244659431,-2.1107985300322003,-1.846252242422994,-2.240277333054335,-2.005120927749894,-1.8985082160978772,1.8333333333333333
23,-2.0620875215154224,-2.01855288952542,-2.0961376020375133,-1.8215734077771195,-2.2317697510254053,-1.9995570646300458,-1.8851417358487965,1.9166666666666667
24,-2.058781967196344,-2.0219901079609235,-2.081051668593388,-1.795955875625935,-2.2224869245013417,-1.9935119840475006,-1.871299835360225,2.0
25,-2.054452367677885,-2.0254062524226786,-2.065560070408966,-1.7694595385801852,-2.212452055724219,-1.9869723188835127,-1.8569941471038725,2.0833333333333335
26,-2.0490536375761708,-2.0287466753674215,-2.0496821481933867,-1.7421442892506147,-2.2016883469361144,-1.9799247020193362,-1.8422363035514522,2.1666666666666665
27,-2.0425406915073303,-2.0319567292518914,-2.033437242655791,-1.7140700202479682,-2.190219000379101,-1.972355766336228,-1.827037937174674,2.25
28,-2.034868444087488,-2.0349817665328254,-2.0168446945053202,-1.6852966241829899,-2.1780672182952556,-1.964252144715441,-1.8114106804452499,2.3333333333333335
29,-2.0259918099327736,-2.037767139666961,-1.9999238444511147,-1.6558839936664254,-2.1652562029266536,-1.955600470038232,-1.795366165834892,2.4166666666666665
