,Illumination,Exposure time,Light transmission,F1 score,SNR
0,Noisy,0.010s,10%,0.21782178,2.814165822077845
1,Noisy,0.010s,10%,0.7058824,3.066807012130747
2,Noisy,0.010s,10%,0.6779661,2.907753873031821
3,Noisy,0.010s,10%,0.85106385,2.938130887346191
4,Noisy,0.010s,10%,0.26865673,2.4714854391920795
5,Noisy,0.010s,10%,0.7173913,2.731536421878412
6,Noisy,0.010s,10%,0.040816326,2.3034697491040856
7,Noisy,0.010s,10%,0.9589041,3.0612531416630766
8,Noisy,0.010s,10%,0.15564202,2.422110935508079
9,Noisy,0.010s,10%,0.23121387,2.32584168821492
10,Noisy,0.010s,10%,0.25842696,2.6546954027143004
11,Noisy,0.010s,10%,0.47272727,2.1613656301880675
12,Noisy,0.010s,10%,0.54385966,2.1865978125792696
13,Noisy,0.010s,10%,0.12307692,2.0768334121358083
14,Noisy,0.010s,10%,0.030534351,1.9275258364955121
15,Noisy,0.010s,10%,0.012578616,2.154069000637619
16,Noisy,0.010s,10%,0.0,1.84520827756046
17,Noisy,0.010s,10%,0.4733728,2.511814684404895
18,Noisy,0.010s,10%,0.14814815,2.9106597593411916
19,Noisy,0.010s,10%,0.0,2.771125104885954
20,Noisy,0.010s,10%,0.8888889,5.730035511613761
21,Noisy,0.010s,10%,0.9315069,5.184116856622125
22,Noisy,0.010s,10%,0.84375,3.6803483211442614
23,Noisy,0.010s,10%,0.8695652,4.259847094155391
24,Noisy,0.010s,10%,0.9130435,6.111587734676695
25,Noisy,0.010s,10%,0.7761194,3.335382291987472
26,Noisy,0.010s,10%,0.6545454,3.300803543259807
27,Noisy,0.010s,10%,0.9041096,3.691474110986312
28,Noisy,0.010s,10%,0.7326733,2.997207649840483
29,Noisy,0.010s,10%,0.8604651,5.104079305101243
30,Noisy,0.010s,10%,0.78313255,3.2735678841950593
31,Noisy,0.010s,10%,0.3566879,2.4224514550404135
32,Noisy,0.010s,10%,1.0,4.148552856433674
33,Noisy,0.010s,10%,0.03076923,1.965796322586307
34,Noisy,0.010s,10%,0.71428573,2.796902699984195
35,Noisy,0.010s,10%,0.116504855,2.1107532033701824
36,Noisy,0.010s,10%,0.027777778,2.0725969366196546
37,Noisy,0.010s,10%,0.7741935,4.694751247770827
38,Noisy,0.010s,10%,0.875,3.483113458804177
39,Noisy,0.010s,10%,0.3448276,2.747988536472346
40,i1,0.010s,50%,0.8702929,5.755724066283869
41,i1,0.010s,50%,0.7058824,6.098907293835462
42,i1,0.010s,50%,0.8867925,5.799737410648543
43,i1,0.010s,50%,0.75,5.817732896581913
44,i1,0.010s,50%,0.82608694,4.642626635940141
45,i1,0.010s,50%,1.0,5.4105388585504315
46,i1,0.010s,50%,0.79452056,4.370597415323108
47,i1,0.010s,50%,0.9589041,6.177784919940455
48,i1,0.010s,50%,0.7692308,4.604703064992955
49,i1,0.010s,50%,0.77697843,4.150748474615864
50,i2,0.025s,10%,0.6166008,4.712037614321778
51,i2,0.025s,10%,0.7058824,5.113745926045831
52,i2,0.025s,10%,0.82568806,4.788177134695861
53,i2,0.025s,10%,0.8695652,4.770518439750608
54,i2,0.025s,10%,0.75,3.856386428630086
55,i2,0.025s,10%,1.0,4.5474626366102155
