,Illumination,Exposure time,Light transmission,F1 score,SNR
0,Noisy,0.010s,10%,0.8786611,13.077121447676268
1,Noisy,0.010s,10%,0.7058824,19.941996381833004
2,Noisy,0.010s,10%,0.86238533,15.97484422647036
3,Noisy,0.010s,10%,0.89361703,17.516244242797086
4,Noisy,0.010s,10%,0.7457627,12.800266674263954
5,Noisy,0.010s,10%,0.972973,14.070290760785776
6,Noisy,0.010s,10%,0.9411765,14.561441172530877
7,Noisy,0.010s,10%,0.9459459,17.226803455597317
8,Noisy,0.010s,10%,0.8102564,11.977453195623616
9,Noisy,0.010s,10%,0.79710144,11.426833799377414
10,Noisy,0.010s,10%,0.9032258,13.87665881016419
11,Noisy,0.010s,10%,0.9574468,14.122989052041644
12,Noisy,0.010s,10%,0.95348835,15.17850056225393
13,Noisy,0.010s,10%,0.9206349,10.926700004637505
14,Noisy,0.010s,10%,0.9032258,11.066384257783309
15,Noisy,0.010s,10%,0.9119171,10.732444186182418
16,Noisy,0.010s,10%,0.9230769,12.77015298764906
17,Noisy,0.010s,10%,0.9496403,13.878650739190224
18,Noisy,0.010s,10%,0.40425533,13.247745414065498
19,Noisy,0.010s,10%,0.8888889,15.101964599152353
20,Noisy,0.010s,10%,0.92413795,14.40391454586793
21,Noisy,0.010s,10%,0.9230769,14.639893441074445
22,Noisy,0.010s,10%,0.870229,15.100221805394293
23,Noisy,0.010s,10%,0.8076923,18.887122777792122
24,Noisy,0.010s,10%,0.9347826,18.06186938827688
25,Noisy,0.010s,10%,0.8235294,16.269598649098324
26,Noisy,0.010s,10%,0.9433962,17.199163803687462
27,Noisy,0.010s,10%,0.8918919,17.448758454164587
28,Noisy,0.010s,10%,0.9052632,14.82197373680919
29,Noisy,0.010s,10%,0.87058824,15.335920197077286
30,Noisy,0.010s,10%,0.8625,14.930035672691941
31,Noisy,0.010s,10%,0.8,11.413073720126253
32,Noisy,0.010s,10%,1.0,19.388716139345085
33,Noisy,0.010s,10%,0.7326733,12.42151723138335
34,Noisy,0.010s,10%,0.83950615,15.729281998034592
35,Noisy,0.010s,10%,0.8867925,12.746326222692485
36,Noisy,0.010s,10%,0.83116883,12.073836953212053
37,Noisy,0.010s,10%,0.7741935,18.805520121867836
38,Noisy,0.010s,10%,0.87096775,13.955880149143356
39,Noisy,0.010s,10%,0.875,12.510332246736793
40,i1,0.010s,50%,0.88429755,12.896832689218833
41,i1,0.010s,50%,0.72727275,18.156607204845308
42,i1,0.010s,50%,0.8545455,15.657933128008784
43,i1,0.010s,50%,0.8235294,17.322802540449597
44,i1,0.010s,50%,0.8518519,13.011756160791588
45,i1,0.010s,50%,0.9866667,13.769572024237519
46,i1,0.010s,50%,0.8857143,14.56658384445949
47,i1,0.010s,50%,0.9459459,16.855574859136222
48,i1,0.010s,50%,0.7393365,12.06071176151804
49,i1,0.010s,50%,0.7284768,11.294994939382144
50,i2,0.025s,10%,0.85,16.473372196290928
51,i2,0.025s,10%,0.6666667,22.924794186083158
52,i2,0.025s,10%,0.8785047,19.831756846119934
53,i2,0.025s,10%,0.89361703,21.995812987246172
54,i2,0.025s,10%,0.7241379,16.43980217803317
55,i2,0.025s,10%,0.9866667,17.679091488976773
56,i2,0.025s,10%,0.8857143,18.16316110890693
57,i2,0.025s,10%,0.9459459,21.45955735757166
58,i2,0.025s,10%,0.7684729,15.216964359010017
59,i2,0.025s,10%,0.78571427,14.120885728205863
60,i3,0.025s,50%,0.890625,11.357887861758726
61,i3,0.025s,50%,0.90909094,11.72222237130985
62,i3,0.025s,50%,0.79611653,12.376853754895997
63,i3,0.025s,50%,0.9206349,8.963196716448055
64,i3,0.025s,50%,0.92561984,8.805377339097314
65,i3,0.025s,50%,0.91752577,8.55258528844047
66,i3,0.025s,50%,0.82828283,10.31860415965372
67,i3,0.025s,50%,0.9219858,11.095001208610292
68,i3,0.025s,50%,0.30508474,10.250058129643863
69,i3,0.025s,50%,0.8888889,11.925339154124233
70,i4,0.050s,10%,0.9206349,14.29044686016723
71,i4,0.050s,10%,0.9,14.519012561990817
72,i4,0.050s,10%,0.8453608,15.352140985466505
73,i4,0.050s,10%,0.8358209,11.182320777571196
74,i4,0.050s,10%,0.92561984,11.088289133281314
75,i4,0.050s,10%,0.92783505,10.727958405799846
76,i4,0.050s,10%,0.78846157,12.805757626589715
77,i4,0.050s,10%,0.91549295,13.915238013339614
78,i4,0.050s,10%,0.2769231,12.758107629886476
79,i4,0.050s,10%,0.85714287,14.725624815121261
80,i5,0.050s,50%,0.89041096,16.196313564756366
81,i5,0.050s,50%,0.91549295,16.374232675110804
82,i5,0.050s,50%,0.8333333,17.681531931631604
83,i5,0.050s,50%,0.8235294,21.401085839834955
84,i5,0.050s,50%,0.9130435,20.626608117388155
85,i5,0.050s,50%,0.8484849,19.183654537805566
86,i5,0.050s,50%,0.9433962,19.670021300357085
87,i5,0.050s,50%,0.9041096,20.181430934101552
88,i5,0.050s,50%,0.8958333,16.956118792247743
89,i5,0.050s,50%,0.9268293,17.389412065404297
90,i6,0.100s,10%,0.89041096,14.582279552383799
91,i6,0.100s,10%,0.90909094,14.75950991361238
92,i6,0.100s,10%,0.8208955,15.86359738205493
93,i6,0.100s,10%,0.6885246,19.20357464797913
94,i6,0.100s,10%,0.9347826,18.491239283278055
95,i6,0.100s,10%,0.8115942,17.14841326797642
96,i6,0.100s,10%,0.9433962,17.56439096685769
97,i6,0.100s,10%,0.8918919,18.081277392912604
98,i6,0.100s,10%,0.86868685,15.245067828519332
99,i6,0.100s,10%,0.91566265,15.672813453104185
100,i7,0.100s,50%,0.89041096,18.085331544273785
101,i7,0.100s,50%,0.92413795,18.318808241173613
102,i7,0.100s,50%,0.8396947,19.790695921956218
103,i7,0.100s,50%,0.84,23.934283283175432
104,i7,0.100s,50%,0.94505495,22.98009902785597
105,i7,0.100s,50%,0.8358209,21.458612317401517
106,i7,0.100s,50%,0.9433962,21.973906594810757
107,i7,0.100s,50%,0.9041096,22.55197451528521
108,i7,0.100s,50%,0.875,18.85800558820957
109,i7,0.100s,50%,0.9268293,19.43329001610545
110,i8,0.100s,100%,0.8447205,14.807334941011058
111,i8,0.100s,100%,0.7670251,11.374003812129809
112,i8,0.100s,100%,1.0,18.48821241470644
113,i8,0.100s,100%,0.79591835,12.553058263820763
114,i8,0.100s,100%,0.825,15.469325962046536
115,i8,0.100s,100%,0.95327103,12.979708640039913
116,i8,0.100s,100%,0.7894737,11.833677089550543
117,i8,0.100s,100%,0.7741935,18.18093110404942
118,i8,0.100s,100%,0.86614174,13.58345369268159
119,i8,0.100s,100%,0.8608696,12.291244493407325
120,i9,0.200s,10%,0.8447205,11.531568738961347
121,i9,0.200s,10%,0.7741935,8.913595803674685
122,i9,0.200s,10%,0.9767442,14.456717085841385
123,i9,0.200s,10%,0.8080808,9.792810815278548
124,i9,0.200s,10%,0.85,12.111474497424961
125,i9,0.200s,10%,0.9444444,10.11883907817065
126,i9,0.200s,10%,0.82051283,9.269400286610086
127,i9,0.200s,10%,0.7741935,14.143301938225154
128,i9,0.200s,10%,0.8888889,10.631452194324263
129,i9,0.200s,10%,0.8684211,9.615192378745208
130,i10,0.200s,50%,0.8447205,14.453415327821439
131,i10,0.200s,50%,0.7741935,11.150182818793928
132,i10,0.200s,50%,1.0,18.07737630990337
133,i10,0.200s,50%,0.79591835,12.280721346736351
134,i10,0.200s,50%,0.825,15.131367847622895
135,i10,0.200s,50%,0.9444444,12.685284799919575
136,i10,0.200s,50%,0.7894737,11.578181757619229
137,i10,0.200s,50%,0.7741935,17.79416242541184
138,i10,0.200s,50%,0.86614174,13.28637524624961
139,i10,0.200s,50%,0.8646288,12.038572211476977
140,Target,0.200s,100%,0.9,13.60276861610062
141,Target,0.200s,100%,0.7058824,18.991681456252973
142,Target,0.200s,100%,0.8785047,16.623467444747764
143,Target,0.200s,100%,0.85714287,18.125998784693063
144,Target,0.200s,100%,0.8518519,13.593645355928084
145,Target,0.200s,100%,0.972973,14.182598851137552
146,Target,0.200s,100%,0.89855075,15.455535068191871
147,Target,0.200s,100%,0.9589041,17.863894854317813
148,Target,0.200s,100%,0.7938144,12.790554247064446
149,Target,0.200s,100%,0.79710144,12.064668474506785
150,Target,0.200s,100%,0.928,14.579265528850756
151,Target,0.200s,100%,0.9574468,15.020125862737896
152,Target,0.200s,100%,0.9425287,15.8914788936456
153,Target,0.200s,100%,0.875,11.500566450651224
154,Target,0.200s,100%,0.94214875,11.530567928562014
155,Target,0.200s,100%,0.9119171,11.0482161463378
156,Target,0.200s,100%,0.87234044,13.341983897937913
157,Target,0.200s,100%,0.9219858,14.276055351110426
158,Target,0.200s,100%,0.30252102,13.341794802447941
159,Target,0.200s,100%,0.87096775,15.320860403071098
160,Target,0.200s,100%,0.9166667,14.620884564264879
161,Target,0.200s,100%,0.91780823,14.849881492103101
162,Target,0.200s,100%,0.85271317,16.161046923201216
163,Target,0.200s,100%,0.85714287,19.396914011120067
164,Target,0.200s,100%,0.9347826,18.567719541452746
165,Target,0.200s,100%,0.7671233,17.496240154651833
166,Target,0.200s,100%,0.9433962,17.840248800012382
167,Target,0.200s,100%,0.88,18.294994516727527
168,Target,0.200s,100%,0.8484849,15.297120797387292
169,Target,0.200s,100%,0.9268293,15.720523573125753
170,Target,0.200s,100%,0.8447205,15.631870628453354
171,Target,0.200s,100%,0.7670251,12.091682484507851
172,Target,0.200s,100%,0.9767442,19.458152647093524
173,Target,0.200s,100%,0.82474226,13.320589494131818
174,Target,0.200s,100%,0.825,16.353538594105604
175,Target,0.200s,100%,0.9189189,13.786788735754582
176,Target,0.200s,100%,0.77922076,12.663796880426682
177,Target,0.200s,100%,0.7741935,19.212269094672415
178,Target,0.200s,100%,0.85714287,14.384659256522111
179,Target,0.200s,100%,0.8521739,13.056044428190209
