,Dye,Threshold,F1,Image
0,MitoTrackerGreen,0.5,0.9056604,0
1,MitoTrackerGreen,0.55,0.8679245,0
2,MitoTrackerGreen,0.6,0.8679245,0
3,MitoTrackerGreen,0.65,0.8679245,0
4,MitoTrackerGreen,0.7,0.8679245,0
5,MitoTrackerGreen,0.75,0.8679245,0
6,MitoTrackerGreen,0.8,0.8679245,0
7,MitoTrackerGreen,0.85,0.8679245,0
8,MitoTrackerGreen,0.9,0.8301887,0
9,MitoTrackerGreen,0.95,0.6037736,0
10,MitoTrackerGreen,1.0,0.0,0
0,QoxB_sfGFP,0.5,1.0,0
1,QoxB_sfGFP,0.55,1.0,0
2,QoxB_sfGFP,0.6,1.0,0
3,QoxB_sfGFP,0.65,1.0,0
4,QoxB_sfGFP,0.7,1.0,0
5,QoxB_sfGFP,0.75,1.0,0
6,QoxB_sfGFP,0.8,1.0,0
7,QoxB_sfGFP,0.85,1.0,0
8,QoxB_sfGFP,0.9,1.0,0
9,QoxB_sfGFP,0.95,0.9411765,0
10,QoxB_sfGFP,1.0,0.0,0
0,MitoTrackerGreen,0.5,0.7826087,1
1,MitoTrackerGreen,0.55,0.6956522,1
2,MitoTrackerGreen,0.6,0.6956522,1
3,MitoTrackerGreen,0.65,0.6956522,1
4,MitoTrackerGreen,0.7,0.6086956,1
5,MitoTrackerGreen,0.75,0.6086956,1
6,MitoTrackerGreen,0.8,0.6086956,1
7,MitoTrackerGreen,0.85,0.6086956,1
8,MitoTrackerGreen,0.9,0.6086956,1
9,MitoTrackerGreen,0.95,0.6086956,1
10,MitoTrackerGreen,1.0,0.0,1
0,QoxB_sfGFP,0.5,0.98507464,1
1,QoxB_sfGFP,0.55,0.95522386,1
2,QoxB_sfGFP,0.6,0.95522386,1
3,QoxB_sfGFP,0.65,0.95522386,1
4,QoxB_sfGFP,0.7,0.95522386,1
5,QoxB_sfGFP,0.75,0.95522386,1
6,QoxB_sfGFP,0.8,0.95522386,1
7,QoxB_sfGFP,0.85,0.95522386,1
8,QoxB_sfGFP,0.9,0.95522386,1
9,QoxB_sfGFP,0.95,0.74626863,1
10,QoxB_sfGFP,1.0,0.0,1
0,MitoTrackerGreen,0.5,0.77272725,2
1,MitoTrackerGreen,0.55,0.72727275,2
2,MitoTrackerGreen,0.6,0.72727275,2
3,MitoTrackerGreen,0.65,0.72727275,2
4,MitoTrackerGreen,0.7,0.72727275,2
5,MitoTrackerGreen,0.75,0.72727275,2
6,MitoTrackerGreen,0.8,0.72727275,2
7,MitoTrackerGreen,0.85,0.72727275,2
8,MitoTrackerGreen,0.9,0.72727275,2
9,MitoTrackerGreen,0.95,0.6818182,2
10,MitoTrackerGreen,1.0,0.0,2
0,QoxB_sfGFP,0.5,0.9268293,2
1,QoxB_sfGFP,0.55,0.9268293,2
2,QoxB_sfGFP,0.6,0.9268293,2
3,QoxB_sfGFP,0.65,0.9268293,2
4,QoxB_sfGFP,0.7,0.9268293,2
5,QoxB_sfGFP,0.75,0.9268293,2
6,QoxB_sfGFP,0.8,0.9268293,2
7,QoxB_sfGFP,0.85,0.9268293,2
8,QoxB_sfGFP,0.9,0.9268293,2
9,QoxB_sfGFP,0.95,0.63414633,2
10,QoxB_sfGFP,1.0,0.0,2
0,MitoTrackerGreen,0.5,0.9142857,3
1,MitoTrackerGreen,0.55,0.9142857,3
2,MitoTrackerGreen,0.6,0.9142857,3
3,MitoTrackerGreen,0.65,0.9142857,3
4,MitoTrackerGreen,0.7,0.9142857,3
5,MitoTrackerGreen,0.75,0.9142857,3
6,MitoTrackerGreen,0.8,0.85714287,3
7,MitoTrackerGreen,0.85,0.85714287,3
8,MitoTrackerGreen,0.9,0.85714287,3
9,MitoTrackerGreen,0.95,0.85714287,3
10,MitoTrackerGreen,1.0,0.0,3
0,QoxB_sfGFP,0.5,0.9756098,3
1,QoxB_sfGFP,0.55,0.9268293,3
2,QoxB_sfGFP,0.6,0.9268293,3
3,QoxB_sfGFP,0.65,0.9268293,3
4,QoxB_sfGFP,0.7,0.9268293,3
5,QoxB_sfGFP,0.75,0.9268293,3
6,QoxB_sfGFP,0.8,0.9268293,3
7,QoxB_sfGFP,0.85,0.9268293,3
8,QoxB_sfGFP,0.9,0.9268293,3
9,QoxB_sfGFP,0.95,0.58536583,3
10,QoxB_sfGFP,1.0,0.0,3
0,MitoTrackerGreen,0.5,0.9230769,4
1,MitoTrackerGreen,0.55,0.84615386,4
2,MitoTrackerGreen,0.6,0.84615386,4
3,MitoTrackerGreen,0.65,0.84615386,4
4,MitoTrackerGreen,0.7,0.84615386,4
5,MitoTrackerGreen,0.75,0.84615386,4
6,MitoTrackerGreen,0.8,0.84615386,4
7,MitoTrackerGreen,0.85,0.84615386,4
8,MitoTrackerGreen,0.9,0.84615386,4
9,MitoTrackerGreen,0.95,0.7692308,4
10,MitoTrackerGreen,1.0,0.0,4
0,QoxB_sfGFP,0.5,0.984127,4
1,QoxB_sfGFP,0.55,0.984127,4
2,QoxB_sfGFP,0.6,0.95238096,4
3,QoxB_sfGFP,0.65,0.95238096,4
4,QoxB_sfGFP,0.7,0.95238096,4
5,QoxB_sfGFP,0.75,0.95238096,4
6,QoxB_sfGFP,0.8,0.95238096,4
7,QoxB_sfGFP,0.85,0.95238096,4
8,QoxB_sfGFP,0.9,0.95238096,4
9,QoxB_sfGFP,0.95,0.85714287,4
10,QoxB_sfGFP,1.0,0.0,4
0,MitoTrackerGreen,0.5,0.972973,5
1,MitoTrackerGreen,0.55,0.9189189,5
2,MitoTrackerGreen,0.6,0.9189189,5
3,MitoTrackerGreen,0.65,0.9189189,5
4,MitoTrackerGreen,0.7,0.9189189,5
5,MitoTrackerGreen,0.75,0.9189189,5
6,MitoTrackerGreen,0.8,0.9189189,5
7,MitoTrackerGreen,0.85,0.9189189,5
8,MitoTrackerGreen,0.9,0.9189189,5
9,MitoTrackerGreen,0.95,0.8108108,5
10,MitoTrackerGreen,1.0,0.0,5
0,QoxB_sfGFP,0.5,0.8695652,5
1,QoxB_sfGFP,0.55,0.8695652,5
2,QoxB_sfGFP,0.6,0.8695652,5
3,QoxB_sfGFP,0.65,0.8695652,5
4,QoxB_sfGFP,0.7,0.8695652,5
5,QoxB_sfGFP,0.75,0.8695652,5
6,QoxB_sfGFP,0.8,0.8695652,5
7,QoxB_sfGFP,0.85,0.8695652,5
8,QoxB_sfGFP,0.9,0.8695652,5
9,QoxB_sfGFP,0.95,0.6956522,5
10,QoxB_sfGFP,1.0,0.0,5
0,MitoTrackerGreen,0.5,1.0,6
1,MitoTrackerGreen,0.55,1.0,6
2,MitoTrackerGreen,0.6,1.0,6
3,MitoTrackerGreen,0.65,1.0,6
4,MitoTrackerGreen,0.7,1.0,6
5,MitoTrackerGreen,0.75,1.0,6
6,MitoTrackerGreen,0.8,1.0,6
7,MitoTrackerGreen,0.85,1.0,6
8,MitoTrackerGreen,0.9,1.0,6
9,MitoTrackerGreen,0.95,1.0,6
10,MitoTrackerGreen,1.0,0.0,6
0,QoxB_sfGFP,0.5,1.0,6
1,QoxB_sfGFP,0.55,1.0,6
2,QoxB_sfGFP,0.6,1.0,6
3,QoxB_sfGFP,0.65,1.0,6
4,QoxB_sfGFP,0.7,1.0,6
5,QoxB_sfGFP,0.75,1.0,6
6,QoxB_sfGFP,0.8,1.0,6
7,QoxB_sfGFP,0.85,1.0,6
8,QoxB_sfGFP,0.9,1.0,6
9,QoxB_sfGFP,0.95,0.84615386,6
10,QoxB_sfGFP,1.0,0.0,6
0,MitoTrackerGreen,0.5,0.8648649,7
1,MitoTrackerGreen,0.55,0.7027027,7
2,MitoTrackerGreen,0.6,0.7027027,7
3,MitoTrackerGreen,0.65,0.7027027,7
4,MitoTrackerGreen,0.7,0.7027027,7
5,MitoTrackerGreen,0.75,0.7027027,7
6,MitoTrackerGreen,0.8,0.7027027,7
7,MitoTrackerGreen,0.85,0.7027027,7
8,MitoTrackerGreen,0.9,0.7027027,7
9,MitoTrackerGreen,0.95,0.7027027,7
10,MitoTrackerGreen,1.0,0.0,7
0,QoxB_sfGFP,0.5,0.9259259,7
1,QoxB_sfGFP,0.55,0.9259259,7
2,QoxB_sfGFP,0.6,0.9259259,7
3,QoxB_sfGFP,0.65,0.9259259,7
4,QoxB_sfGFP,0.7,0.9259259,7
5,QoxB_sfGFP,0.75,0.9259259,7
6,QoxB_sfGFP,0.8,0.9259259,7
7,QoxB_sfGFP,0.85,0.9259259,7
8,QoxB_sfGFP,0.9,0.8888889,7
9,QoxB_sfGFP,0.95,0.4074074,7
10,QoxB_sfGFP,1.0,0.0,7
0,MitoTrackerGreen,0.5,1.0,8
1,MitoTrackerGreen,0.55,1.0,8
2,MitoTrackerGreen,0.6,1.0,8
3,MitoTrackerGreen,0.65,1.0,8
4,MitoTrackerGreen,0.7,1.0,8
5,MitoTrackerGreen,0.75,1.0,8
6,MitoTrackerGreen,0.8,1.0,8
7,MitoTrackerGreen,0.85,1.0,8
8,MitoTrackerGreen,0.9,1.0,8
9,MitoTrackerGreen,0.95,0.95,8
10,MitoTrackerGreen,1.0,0.0,8
0,QoxB_sfGFP,0.5,0.9052632,8
1,QoxB_sfGFP,0.55,0.86315787,8
2,QoxB_sfGFP,0.6,0.84210527,8
3,QoxB_sfGFP,0.65,0.8,8
4,QoxB_sfGFP,0.7,0.8,8
5,QoxB_sfGFP,0.75,0.8,8
6,QoxB_sfGFP,0.8,0.8,8
7,QoxB_sfGFP,0.85,0.8,8
8,QoxB_sfGFP,0.9,0.69473684,8
9,QoxB_sfGFP,0.95,0.5263158,8
10,QoxB_sfGFP,1.0,0.0,8
0,MitoTrackerGreen,0.5,0.8695652,9
1,MitoTrackerGreen,0.55,0.8695652,9
2,MitoTrackerGreen,0.6,0.8695652,9
3,MitoTrackerGreen,0.65,0.8695652,9
4,MitoTrackerGreen,0.7,0.8695652,9
5,MitoTrackerGreen,0.75,0.8695652,9
6,MitoTrackerGreen,0.8,0.8695652,9
7,MitoTrackerGreen,0.85,0.8695652,9
8,MitoTrackerGreen,0.9,0.8695652,9
9,MitoTrackerGreen,0.95,0.8695652,9
10,MitoTrackerGreen,1.0,0.0,9
0,QoxB_sfGFP,0.5,1.0,9
1,QoxB_sfGFP,0.55,1.0,9
2,QoxB_sfGFP,0.6,1.0,9
3,QoxB_sfGFP,0.65,1.0,9
4,QoxB_sfGFP,0.7,1.0,9
5,QoxB_sfGFP,0.75,0.969697,9
6,QoxB_sfGFP,0.8,0.969697,9
7,QoxB_sfGFP,0.85,0.969697,9
8,QoxB_sfGFP,0.9,0.969697,9
9,QoxB_sfGFP,0.95,0.8181818,9
10,QoxB_sfGFP,1.0,0.0,9
0,MitoTrackerGreen,0.5,0.85714287,10
1,MitoTrackerGreen,0.55,0.74285716,10
2,MitoTrackerGreen,0.6,0.74285716,10
3,MitoTrackerGreen,0.65,0.74285716,10
4,MitoTrackerGreen,0.7,0.74285716,10
5,MitoTrackerGreen,0.75,0.74285716,10
6,MitoTrackerGreen,0.8,0.74285716,10
7,MitoTrackerGreen,0.85,0.74285716,10
8,MitoTrackerGreen,0.9,0.74285716,10
9,MitoTrackerGreen,0.95,0.6857143,10
10,MitoTrackerGreen,1.0,0.0,10
0,QoxB_sfGFP,0.5,1.0,10
1,QoxB_sfGFP,0.55,1.0,10
2,QoxB_sfGFP,0.6,1.0,10
3,QoxB_sfGFP,0.65,1.0,10
4,QoxB_sfGFP,0.7,1.0,10
5,QoxB_sfGFP,0.75,1.0,10
6,QoxB_sfGFP,0.8,1.0,10
7,QoxB_sfGFP,0.85,1.0,10
8,QoxB_sfGFP,0.9,0.96153843,10
9,QoxB_sfGFP,0.95,0.9230769,10
10,QoxB_sfGFP,1.0,0.0,10
0,MitoTrackerGreen,0.5,0.96428573,11
1,MitoTrackerGreen,0.55,0.9285714,11
2,MitoTrackerGreen,0.6,0.9285714,11
3,MitoTrackerGreen,0.65,0.9285714,11
