,Method,Width
1072,FP2FM,0.7724962788799571
1073,FP2FM,0.7424788312272637
1074,FP2FM,0.7666454051636004
1075,FP2FM,0.7823044824961602
1076,FP2FM,0.7587279054938716
1077,FP2FM,0.7310671588269305
1078,FP2FM,0.7895641425131683
1079,FP2FM,0.7970437085014243
1080,FP2FM,0.786201335476165
1081,FP2FM,0.7805800753998262
1083,FP2FM,0.6913619392581445
1084,FP2FM,0.822369987324291
1085,FP2FM,0.7869578526968222
1086,FP2FM,0.7834080530098476
1087,FP2FM,0.7783809781455882
1088,FP2FM,0.8496011697210301
1089,FP2FM,0.7683212970257053
1090,FP2FM,0.8130525768125912
1092,FP2FM,0.8569551961269987
1093,FP2FM,0.7964663900964507
1094,FP2FM,0.7847536703585265
1095,FP2FM,0.7145900863608495
1096,FP2FM,0.7678927793002431
1097,FP2FM,0.8010512781270346
1098,FP2FM,0.7682950907795902
1099,FP2FM,0.7768251963590043
1100,FP2FM,0.8332725646640211
1101,FP2FM,0.8910281347379613
1102,FP2FM,0.846078921320845
1103,FP2FM,0.8772648035811945
1104,FP2FM,0.8519858659696882
1105,FP2FM,0.8159672870783999
1106,FP2FM,0.8716786935600563
1107,FP2FM,0.9350876497930667
1108,FP2FM,0.9171162457371558
1109,FP2FM,0.955402033798928
1110,FP2FM,0.8474467072859628
1111,FP2FM,0.8198014944857672
1112,FP2FM,0.786189742677143
1113,FP2FM,0.8064348061845757
1114,FP2FM,0.8269243304862485
1115,FP2FM,0.8766371816817236
1116,FP2FM,0.906571327907728
1117,FP2FM,0.9094549168683114
1118,FP2FM,0.8693238225298334
1119,FP2FM,0.7661204291445173
1120,FP2FM,0.7934706920357305
1121,FP2FM,0.7896214161888649
1122,FP2FM,0.7704576832405398
1123,FP2FM,0.7333951161223647
1124,FP2FM,0.7213033789747384
1125,FP2FM,0.7888824372121339
1126,FP2FM,0.7864590491011746
1127,FP2FM,0.7407109638232288
1128,FP2FM,0.7668627045410519
1129,FP2FM,0.7835555434623928
1130,FP2FM,0.7482795119589977
1131,FP2FM,0.8077113231975956
1132,FP2FM,0.8087653544637748
1133,FP2FM,0.8022667619167224
1134,FP2FM,0.7585532818501785
1135,FP2FM,0.6716041011060448
1136,FP2FM,0.7465619434148841
1137,FP2FM,0.8124586426197429
1138,FP2FM,0.7867237413230442
1139,FP2FM,0.7991581184527248
1140,FP2FM,0.7991444959841245
1141,FP2FM,0.8061286354642829
1142,FP2FM,0.7906802637812405
1143,FP2FM,0.8127466241980428
1144,FP2FM,0.8407884431274928
1145,FP2FM,0.7823589243618609
1146,FP2FM,0.7713361150636309
1147,FP2FM,0.841727935616405
1148,FP2FM,0.8011987961896682
1149,FP2FM,0.8720198235957666
1150,FP2FM,0.8941371068325036
1152,FP2FM,0.7384377781627646
1153,FP2FM,0.8839764128621548
1154,FP2FM,0.8649999067579203
1155,FP2FM,0.925510141314305
1156,FP2FM,0.8727451656949564
1157,FP2FM,0.9248571916632713
1158,FP2FM,0.8343602238838497
1159,FP2FM,0.7648838338481471
1160,FP2FM,0.8919427530799191
1161,FP2FM,0.8802496502074679
1162,FP2FM,0.8926748274371173
1163,FP2FM,0.8775076707911664
1164,FP2FM,0.8703955721189514
1165,FP2FM,0.909068851174511
1166,FP2FM,0.8552413890371693
1167,FP2FM,0.8971260087811413
1168,FP2FM,0.8043827752133215
1169,FP2FM,0.9290171034973235
1170,FP2FM,0.8677648203277917
1171,FP2FM,0.8187524933732151
1172,FP2FM,0.8078475601131536
1174,FP2FM,0.8181048773519582
1175,FP2FM,0.7736437442853007
1176,FP2FM,0.8107632848223429
1177,FP2FM,0.7762365225264921
1178,FP2FM,0.7908940746794212
1179,FP2FM,0.8622886373448874
1180,FP2FM,0.8549174104736946
1181,FP2FM,0.858244525695198
1182,FP2FM,0.8568749128068217
1183,FP2FM,0.8490866638066652
1184,FP2FM,0.8378069639916943
1185,FP2FM,0.8065196232576737
1186,FP2FM,0.770613348433812
1187,FP2FM,0.9113109133368479
1188,FP2FM,0.8987274071636739
1189,FP2FM,0.8685059958350111
1190,FP2FM,0.9133774739064985
1191,FP2FM,0.8733797553663907
1192,FP2FM,0.9126494133447557
1193,FP2FM,0.8297443552118421
1194,FP2FM,0.8900729204319586
1195,FP2FM,0.8156448966911065
1196,FP2FM,0.8869493126541942
1197,FP2FM,0.8668388888505636
1198,FP2FM,0.8029960607119575
1199,FP2FM,0.799284828783374
1200,FP2FM,0.8000611544691919
1202,FP2FM,0.8172523383602106
1203,FP2FM,0.8468979408089077
1204,FP2FM,0.8499657770879284
1205,FP2FM,0.9026388856995378
1206,FP2FM,0.8799951473172062
1207,FP2FM,0.8722056392612632
1208,FP2FM,0.8545085338272735
1209,FP2FM,0.8543976354923108
1210,FP2FM,0.7977001300647704
1211,FP2FM,0.7768754941282429
1212,FP2FM,0.768033985740725
1213,FP2FM,0.8059071258768519
1214,FP2FM,0.8516810719408054
1215,FP2FM,0.8314290110312266
1216,FP2FM,0.8375892551101087
1217,FP2FM,0.8177540450851827
1218,FP2FM,0.8712632148689478
1219,FP2FM,0.8405787450108129
1220,FP2FM,0.8408774975341415
1221,FP2FM,0.8136305039698943
1222,FP2FM,0.864979412228969
1223,FP2FM,0.7816309404073729
1224,FP2FM,0.8829090732789605
1225,FP2FM,0.8042429418009189
1226,FP2FM,0.8976896112410532
1227,FP2FM,0.7722674065139149
1228,FP2FM,0.7813840531524862
1229,FP2FM,0.7995182533701484
1230,FP2FM,0.8917991995985977
1231,FP2FM,0.7856505010261184
1232,FP2FM,0.8446033937252856
1233,FP2FM,0.8679185473186981
1234,FP2FM,0.8682051741133612
1235,FP2FM,0.7860187806385
1236,FP2FM,0.8917831138230284
1237,FP2FM,0.8158318769112537
1238,FP2FM,0.767398738240334
1239,FP2FM,0.8482538769807709
1240,FP2FM,0.7627456943873772
1241,FP2FM,0.8574389057105818
1242,FP2FM,0.8272266832725259
1243,FP2FM,0.8295947221142796
1244,FP2FM,0.7779485855926803
1245,FP2FM,0.8328921748648258
1246,FP2FM,0.807253037555192
1247,FP2FM,0.8301348751755995
1248,FP2FM,0.8491132204945356
1249,FP2FM,0.7550098510093706
1250,FP2FM,0.9072386306432323
1251,FP2FM,0.8650033343232937
1252,FP2FM,0.8271808159141839
1253,FP2FM,0.8229943700854422
1254,FP2FM,0.8140888192455977
1255,FP2FM,0.8187699578323853
1256,FP2FM,0.8423861507383673
1257,FP2FM,0.8094669152523906
1258,FP2FM,0.8171091280965154
1259,FP2FM,0.811694254759784
1260,FP2FM,0.8285349072999542
1261,FP2FM,0.8002519656477095
1262,FP2FM,0.8583582573847195
1263,FP2FM,0.8764862111199258
1264,FP2FM,0.8072178028788944
1265,FP2FM,0.7936952226775009
1266,FP2FM,0.8651932628469174
1267,FP2FM,0.8195496201091595
1268,FP2FM,0.6849674357846962
1269,FP2FM,0.8383938662464784
1271,FP2FM,0.8535939998169935
1272,FP2FM,0.8748213263517628
1273,FP2FM,0.828480103367827
1274,FP2FM,0.8124059424288084
1275,FP2FM,0.8506339637663161
1276,FP2FM,0.7973180344408697
1277,FP2FM,0.739465076442115
1279,FP2FM,0.8674246342614877
1281,FP2FM,0.7228115388514609
1282,FP2FM,0.6601464152676622
1285,FP2FM,0.7448565504808978
1286,FP2FM,0.8154379907001992
1287,FP2FM,0.8105236144808486
1288,FP2FM,0.8423885749234676
1289,FP2FM,0.8417644332639226
1290,FP2FM,0.7996515536309179
1291,FP2FM,0.8216328771569141
1292,FP2FM,0.8090761479202659
1293,FP2FM,0.8804651798790007
1294,FP2FM,0.7832741665370176
1295,FP2FM,0.7580275025650095
1296,FP2FM,0.8556041059996984
1297,FP2FM,0.7668598580489571
1298,FP2FM,0.8895330795099776
1299,FP2FM,0.7783451849989865
1300,FP2FM,0.8916017772464362
1301,FP2FM,0.8229634540934804
1302,FP2FM,0.8831327569547879
1303,FP2FM,0.8570375994039238
1304,FP2FM,0.9083865526217649
1305,FP2FM,0.8212087899247038
1306,FP2FM,0.8986700381623681
1308,FP2FM,0.8762079417773391
1309,FP2FM,0.9033039823190709
1310,FP2FM,0.9154488421586796
1311,FP2FM,0.8786223210825936
1312,FP2FM,0.9521187655701158
1313,FP2FM,0.9263018789363072
1314,FP2FM,0.8676003768754879
1315,FP2FM,0.8847825185630858
1316,FP2FM,0.8347802066212401
1317,FP2FM,0.7900747234141107
1318,FP2FM,0.7942694135794612
1319,FP2FM,0.8505150268911689
1320,FP2FM,0.8410650380365637
1321,FP2FM,0.7905979238297061
1322,FP2FM,0.8545455204651788
1323,FP2FM,0.8639750665158932
1324,FP2FM,0.8624314439449969
1325,FP2FM,0.8009262986685487
1326,FP2FM,0.8411146410295703
1327,FP2FM,0.9090414176267831
1328,FP2FM,0.8018001204916553
1329,FP2FM,0.8392173731168833
1330,FP2FM,0.8719525788223521
1331,FP2FM,0.8648848904746526
1332,FP2FM,0.8846407270870049
1333,FP2FM,0.8592753436190393
1334,FP2FM,0.8756272764333954
1335,FP2FM,0.8185862624630864
1336,FP2FM,0.8446960372676221
1337,FP2FM,0.8548278467703136
1338,FP2FM,0.8273262006981923
1339,FP2FM,0.8321348592758646
1340,FP2FM,0.8529836366888431
1341,FP2FM,0.776400850237575
1343,FP2FM,0.765146070301919
1344,FP2FM,0.827932664751092
1345,FP2FM,0.8868852018845975
1346,FP2FM,0.8246458800847751
1347,FP2FM,0.7315806671870775
1348,FP2FM,0.6785924415986766
1349,FP2FM,0.7413852754611473
1350,FP2FM,0.8087830310678444
1351,FP2FM,0.7186930802072791
1352,FP2FM,0.8905661146902002
1353,FP2FM,0.8628701117904779
1354,FP2FM,0.863276340147007
1355,FP2FM,0.794129510201816
1356,FP2FM,0.889126580359144
1357,FP2FM,0.8553611990246847
1358,FP2FM,0.8839465658826219
1359,FP2FM,0.8879711705101426
1360,FP2FM,0.7363226026950489
1361,FP2FM,0.881380140594521
1362,FP2FM,0.8728300971709764
1363,FP2FM,0.8300435276290908
1364,FP2FM,0.8513089552692368
1365,FP2FM,0.8398867854300442
1366,FP2FM,0.8835828890130337
1367,FP2FM,0.8800741633885916
1368,FP2FM,0.84044635725234
1369,FP2FM,0.8014479496634584
1370,FP2FM,0.7898777391173546
1371,FP2FM,0.8363724696814875
1372,FP2FM,0.8331916511113417
1373,FP2FM,0.8610166694597577
1374,FP2FM,0.8384623024063976
1375,FP2FM,0.793775176313578
1376,FP2FM,0.8947571511658677
1377,FP2FM,0.8902249261198
1378,FP2FM,0.7998129505430641
1379,FP2FM,0.8778899701713493
1380,FP2FM,0.8921469861852773
1381,FP2FM,0.8908487643656743
1382,FP2FM,0.8867537227478699
1383,FP2FM,0.8435074433715049
1384,FP2FM,0.8506776394382917
1385,FP2FM,0.8781751360275383
1386,FP2FM,0.9079375017136453
1387,FP2FM,0.9319907370733572
1388,FP2FM,0.9144859456873204
1389,FP2FM,0.8733368565955943
1390,FP2FM,0.8521677346344877
1391,FP2FM,0.8745561584784722
1392,FP2FM,0.9380322833798198
1393,FP2FM,0.7458430249102979
1397,FP2FM,0.7594403492390239
1398,FP2FM,0.7089877780719306
1399,FP2FM,0.7811521641000639
1400,FP2FM,0.7897281893073804
1401,FP2FM,0.8040747670115271
1402,FP2FM,0.7840692753798375
1403,FP2FM,0.857560197228831
1404,FP2FM,0.7337984682946916
1405,FP2FM,0.8013848473878901
1406,FP2FM,0.6513897412077406
1408,FP2FM,0.7777950545060063
1409,FP2FM,0.769800792526466
1410,FP2FM,0.7895837694761572
1411,FP2FM,0.8074568567989858
1412,FP2FM,0.8235241704258959
1413,FP2FM,0.7508084682761462
1414,FP2FM,0.789101440434811
1415,FP2FM,0.77238422380831
1416,FP2FM,0.8339462343975457
1417,FP2FM,0.7733326733002381
1418,FP2FM,0.7931553986938766
1419,FP2FM,0.7739143473833379
1420,FP2FM,0.8491248961707193
1421,FP2FM,0.8262590089053752
1422,FP2FM,0.8195669499053669
1423,FP2FM,0.8368937357381528
1424,FP2FM,0.8128619196131334
1425,FP2FM,0.7919099938274184
1426,FP2FM,0.8246885007143563
1428,FP2FM,0.8107725207815794
1429,FP2FM,0.8323328878729854
1430,FP2FM,0.75558632919077
1431,FP2FM,0.8222387503793062
1432,FP2FM,0.7994683658677812
1433,FP2FM,0.7760656557606772
1434,FP2FM,0.8418517373923106
1435,FP2FM,0.8093062066905872
1436,FP2FM,0.7177414602908773
1437,FP2FM,0.8750574776584655
1438,FP2FM,0.7766528188334626
1439,FP2FM,0.8875733877602376
1440,FP2FM,0.7495641416946925
1441,FP2FM,0.8864306872975313
1442,FP2FM,0.8023598114741952
1443,FP2FM,0.8785576675360427
1444,FP2FM,0.8469747644783018
1445,FP2FM,0.8506669639553788
1446,FP2FM,0.8677120954245711
1447,FP2FM,0.907258417906673
1448,FP2FM,0.887534586775184
1449,FP2FM,0.7961426145527137
1450,FP2FM,0.8759171319756326
1451,FP2FM,0.8750281927814016
1452,FP2FM,0.8877318835793723
1453,FP2FM,0.9048856252142135
1454,FP2FM,0.8471621610610521
1455,FP2FM,0.8019351723451573
1456,FP2FM,0.7972263718264289
1457,FP2FM,0.9161210589692725
1458,FP2FM,0.9126644328905994
1459,FP2FM,0.7824330034824294
1461,FP2FM,0.7109823189485375
1462,FP2FM,0.6822602418081921
1465,FP2FM,0.8101561910455088
1467,FP2FM,0.8317576185918183
1468,FP2FM,0.8648067331270963
1469,FP2FM,0.7892547211657613
1470,FP2FM,0.8518704866626583
1471,FP2FM,0.8469942749217099
1472,FP2FM,0.7854239309024689
1473,FP2FM,0.8319817893724231
1474,FP2FM,0.8655207000246449
1475,FP2FM,0.8953010695064259
1476,FP2FM,0.7922959315392888
1477,FP2FM,0.7215130012669209
1478,FP2FM,0.8792650064773797
1479,FP2FM,0.7775673131439296
1480,FP2FM,0.874013242712644
1481,FP2FM,0.8273491928539902
1482,FP2FM,0.8604502696161179
1483,FP2FM,0.8496628459545817
1484,FP2FM,0.8455644167617606
1485,FP2FM,0.7898908559236171
1486,FP2FM,0.7861284459388186
1487,FP2FM,0.8874884758734312
1488,FP2FM,0.8637802304092713
1489,FP2FM,0.8173250592740947
