Method,area
FM2FM,2.649437312
FM2FM,3.032087599
FM2FM,2.620322617
FM2FM,2.998813661
FM2FM,2.982176692
FM2FM,3.281642134
FM2FM,5.78966521
FM2FM,3.988713316
FM2FM,3.377304706
FM2FM,6.450984727
FM2FM,2.295901721
FM2FM,3.581107576
FM2FM,7.411769687
FM2FM,6.816998045
FM2FM,3.610222272
FM2FM,2.171124454
FM2FM,3.281642134
FM2FM,3.252527438
FM2FM,3.535355911
FM2FM,3.398100917
FM2FM,3.040406084
FM2FM,0.919192537
FM2FM,3.098635475
FM2FM,3.240049712
FM2FM,3.402260159
FM2FM,3.714203328
FM2FM,3.294119861
FM2FM,5.219849022
FM2FM,4.105172099
FM2FM,3.926324683
FM2FM,7.145578183
FM2FM,3.564470607
FM2FM,3.868095291
FM2FM,3.876413776
FM2FM,4.417115268
FM2FM,7.719553613
FM2FM,3.448011824
FM2FM,0.191325143
FM2FM,0.291146957
FM2FM,3.934643167
FM2FM,4.966135245
FM2FM,2.923947301
FM2FM,2.408201262
FM2FM,5.078434785
FM2FM,2.670233524
FM2FM,2.928106543
FM2FM,2.013073248
FM2FM,4.737376921
FM2FM,3.032087599
FM2FM,2.857399425
FM2FM,3.2192535
FM2FM,2.7367814
FM2FM,2.815807002
FM2FM,3.92216544
FM2FM,2.757577611
FM2FM,3.356508495
FM2FM,0.191325143
FM2FM,1.938206888
FM2FM,0.769459816
FM2FM,0.099821814
FM2FM,2.84908094
FM2FM,2.587048679
FM2FM,1.601308266
FM2FM,2.990495177
FM2FM,2.749259126
FM2FM,2.765896095
FM2FM,3.464648793
FM2FM,4.521096324
FM2FM,2.799170033
FM2FM,3.210935016
FM2FM,3.947120894
FM2FM,3.556152122
FM2FM,4.774810101
FM2FM,5.839576117
FM2FM,2.416519746
FM2FM,2.137850516
FM2FM,2.844921698
FM2FM,4.941179791
FM2FM,2.562093225
FM2FM,6.022582776
FM2FM,3.510400458
FM2FM,3.913846956
FM2FM,2.058824913
FM2FM,7.045756369
FM2FM,4.812243282
FM2FM,2.204398392
FM2FM,4.525255566
FM2FM,3.984554074
FM2FM,6.7338132
FM2FM,3.826502869
FM2FM,6.912660617
FM2FM,6.267978069
FM2FM,4.674988287
FM2FM,3.801547415
FM2FM,3.84729908
FM2FM,3.701725601
FM2FM,3.576948334
FM2FM,4.400478299
FM2FM,3.84729908
FM2FM,3.156864867
FM2FM,3.772432719
FM2FM,4.229949367
FM2FM,4.163401491
FM2FM,4.350567392
FM2FM,3.888891502
FM2FM,4.325611938
FM2FM,3.431374855
FM2FM,0.960784959
FM2FM,5.885327782
FM2FM,3.360667737
FM2FM,3.481285762
FM2FM,2.923947301
FM2FM,3.081998506
FM2FM,3.92216544
FM2FM,6.126563832
FM2FM,3.855617564
FM2FM,7.024960158
FM2FM,1.247772675
FM2FM,3.368986221
FM2FM,3.14438714
FM2FM,3.136068655
FM2FM,3.2192535
FM2FM,2.740940642
FM2FM,3.177661078
FM2FM,3.352349252
FM2FM,2.803329276
FM2FM,3.967917105
FM2FM,2.487226865
FM2FM,4.342248907
FM2FM,3.834821353
FM2FM,5.240645233
FM2FM,3.443852582
FM2FM,2.420678989
FM2FM,3.148546382
FM2FM,4.38384133
FM2FM,2.158646727
FM2FM,1.925729161
FM2FM,4.042783466
FM2FM,2.715985188
FM2FM,0.349376349
FM2FM,4.533574051
FM2FM,7.124781972
FM2FM,4.795606313
FM2FM,6.846112741
FM2FM,6.488417908
FM2FM,6.080812167
FM2FM,6.65894684
FM2FM,6.163997012
FM2FM,3.044565326
FM2FM,3.119431686
FM2FM,3.098635475
FM2FM,4.55021102
FM2FM,6.230544888
FM2FM,3.048724568
FM2FM,2.828284729
FM2FM,4.670829045
FM2FM,5.951875658
FM2FM,3.360667737
FM2FM,5.802142937
FM2FM,3.988713316
FM2FM,5.535951433
FM2FM,3.814025142
FM2FM,4.774810101
FM2FM,5.681524911
FM2FM,6.525851088
FM2FM,3.801547415
FM2FM,3.47712652
FM2FM,3.468808035
FM2FM,5.020205394
FM2FM,3.456330309
FM2FM,5.768868999
FM2FM,5.194893568
FM2FM,5.785505968
FM2FM,5.078434785
FM2FM,5.760550514
FM2FM,5.814620663
FM2FM,3.011291388
FM2FM,5.473562799
FM2FM,6.509214119
FM2FM,3.901369229
FM2FM,3.556152122
FM2FM,3.131909413
FM2FM,3.032087599
FM2FM,3.269164407
FM2FM,3.506241216
FM2FM,2.770055338
FM2FM,2.121213547
FM2FM,3.298279103
FM2FM,3.102794717
FM2FM,2.815807002
FM2FM,3.34819001
FM2FM,3.18182032
FM2FM,3.040406084
FM2FM,4.828880251
FM2FM,2.969698965
FM2FM,2.84908094
FM2FM,4.508618597
FM2FM,3.215094258
FM2FM,3.090316991
FM2FM,3.527037427
FM2FM,4.338089665
FM2FM,5.427811134
FM2FM,4.467026175
FM2FM,2.279264752
FM2FM,3.302438345
FM2FM,1.86749977
FM2FM,2.836603214
FM2FM,4.342248907
FM2FM,4.329771181
FM2FM,2.574570952
FM2FM,2.250150056
FM2FM,7.374336507
FM2FM,2.94058427
FM2FM,2.761736853
FM2FM,5.54842916
FM2FM,4.774810101
FM2FM,5.21568978
FM2FM,5.315511594
FM2FM,2.840762456
FM2FM,1.434938576
FM2FM,0.440879678
FM2FM,2.824125487
FM2FM,4.275701031
FM2FM,1.834225832
FM2FM,0.910874052
FM2FM,0.74034512
FM2FM,4.733217679
FM2FM,0.457516647
FM2FM,4.641714349
FM2FM,5.390377954
FM2FM,5.910283235
FM2FM,5.444448103
FM2FM,4.467026175
FM2FM,4.504459355
FM2FM,4.396319057
FM2FM,4.08853513
FM2FM,5.506836737
FM2FM,3.152705624
FM2FM,3.972076347
FM2FM,2.982176692
FM2FM,4.071898161
FM2FM,5.070116301
FM2FM,5.822939148
FM2FM,4.991090698
FM2FM,5.486040526
FM2FM,4.425433752
FM2FM,4.903746611
FM2FM,4.928702065
FM2FM,6.001786565
FM2FM,5.885327782
FM2FM,6.126563832
FM2FM,6.317888976
FM2FM,6.163997012
FM2FM,5.565066129
FM2FM,4.21747164
FM2FM,3.997031801
FM2FM,4.404637541
FM2FM,2.691029735
FM2FM,3.398100917
FM2FM,6.908501375
FM2FM,6.213907919
FM2FM,2.187761423
FM2FM,3.277482892
FM2FM,2.97801745
FM2FM,3.302438345
FM2FM,2.990495177
FM2FM,3.227571985
FM2FM,2.4414752
FM2FM,4.558529504
FM2FM,3.156864867
FM2FM,2.961380481
FM2FM,2.965539723
FM2FM,3.489604247
FM2FM,4.579325716
FM2FM,6.858590468
FM2FM,3.377304706
FM2FM,3.393941675
FM2FM,4.046942708
FM2FM,3.547833638
FM2FM,7.108145003
FM2FM,4.192516187
FM2FM,3.510400458
FM2FM,3.194298047
FM2FM,4.62507738
FM2FM,4.163401491
FM2FM,4.491981628
FM2FM,4.275701031
FM2FM,3.876413776
FM2FM,1.010695866
FM2FM,4.437911479
FM2FM,4.674988287
FM2FM,4.828880251
FM2FM,2.379086566
FM2FM,1.796792651
FM2FM,3.431374855
FM2FM,3.481285762
FM2FM,2.857399425
FM2FM,4.986931456
FM2FM,4.595962685
FM2FM,6.342844429
FM2FM,6.750450169
FM2FM,5.964353384
FM2FM,7.216285301
FM2FM,4.483663144
FM2FM,2.807488518
FM2FM,4.005350285
FM2FM,6.717176231
FM2FM,6.704698505
FM2FM,7.52822847
FM2FM,4.117649826
FM2FM,5.136664177
FM2FM,3.277482892
FM2FM,7.607254073
FM2FM,4.229949367
FM2FM,3.427215613
FM2FM,4.250745578
FM2FM,3.88473226
FM2FM,4.138446037
FM2FM,5.49435901
FM2FM,4.342248907
FM2FM,6.101608379
FM2FM,4.446229964
FM2FM,3.651814694
FM2FM,3.10695396
FM2FM,4.641714349
FM2FM,4.741536163
FM2FM,4.096853615
FM2FM,4.907905853
FM2FM,3.789069688
FM2FM,3.368986221
FM2FM,2.761736853
FM2FM,6.858590468
FM2FM,4.712421468
FM2FM,2.986335934
FM2FM,2.994654419
FM2FM,3.356508495
FM2FM,4.446229964
FM2FM,5.781346725
FM2FM,3.185979562
FM2FM,1.588830539
FM2FM,1.098039954
FM2FM,3.980394832
FM2FM,3.855617564
FM2FM,3.967917105
FM2FM,4.75401389
FM2FM,2.370768082
FM2FM,2.250150056
FM2FM,4.674988287
FM2FM,3.202616531
FM2FM,4.171719975
FM2FM,1.518123421
FM2FM,1.135473134
FM2FM,4.163401491
FM2FM,3.951280136
FM2FM,2.948902754
FM2FM,3.84729908
FM2FM,3.764114235
FM2FM,4.146764522
FM2FM,3.423056371
FM2FM,3.926324683
FM2FM,4.392159814
FM2FM,3.119431686
FM2FM,2.711825946
FM2FM,3.868095291
FM2FM,3.913846956
FM2FM,4.51277784
FM2FM,3.506241216
FM2FM,5.469403557
FM2FM,4.691625256
FM2FM,3.668451663
FM2FM,1.838385074
FM2FM,0.881759357
FM2FM,4.795606313
FM2FM,3.622699998
FM2FM,3.772432719
FM2FM,2.915628816
FM2FM,3.373145464
FM2FM,3.34819001
FM2FM,5.714798849
FM2FM,5.448607346
FM2FM,3.739158781
FM2FM,2.562093225
FM2FM,4.163401491
FM2FM,4.400478299
FM2FM,4.304815727
FM2FM,3.934643167
FM2FM,4.51277784
FM2FM,5.273919171
FM2FM,5.053479332
FM2FM,3.893050745
FM2FM,4.408796783
FM2FM,6.600717448
FM2FM,3.805706657
FM2FM,4.612599654
FM2FM,4.961976003
FM2FM,4.5876442
FM2FM,6.234704131
FM2FM,6.958412282
FM2FM,6.484258665
FM2FM,4.824721008
FM2FM,5.897805508
FM2FM,6.542488057
FM2FM,2.150328242
FM2FM,3.115272444
FM2FM,1.530601147
FM2FM,3.227571985
FM2FM,2.711825946
FM2FM,5.016046152
FM2FM,0.885918599
FM2FM,4.691625256
FM2FM,1.568034328
FM2FM,4.092694373
FM2FM,3.872254533
FM2FM,4.113490584
FM2FM,5.569225371
FM2FM,4.150923764
FM2FM,5.265600687
FM2FM,5.095071754
FM2FM,3.285801376
FM2FM,3.926324683
FM2FM,4.313134212
FM2FM,4.354726634
FM2FM,4.650032834
FM2FM,3.930483925
FM2FM,4.737376921
FM2FM,4.271541789
FM2FM,3.759954993
FM2FM,4.741536163
FM2FM,4.749854648
FM2FM,4.092694373
FM2FM,3.377304706
FM2FM,5.286396898
FM2FM,4.21747164
FM2FM,4.8829504
FM2FM,3.418897128
FM2FM,5.702321123
FM2FM,4.899587369
FM2FM,4.799765555
FM2FM,4.462866933
FM2FM,5.136664177
FM2FM,5.935238689
FM2FM,3.992872559
FM2FM,4.167560733
FM2FM,5.714798849
FM2FM,4.778969344
FM2FM,4.737376921
FM2FM,3.701725601
FM2FM,5.203212053
FM2FM,6.588239722
FM2FM,5.061797816
FM2FM,3.618540756
FM2FM,3.905528471
FM2FM,4.874631915
FM2FM,4.483663144
FM2FM,7.237081512
FM2FM,5.336307805
FM2FM,5.614977036
FM2FM,4.42127451
FM2FM,4.059420435
FM2FM,5.070116301
FM2FM,4.887109642
FM2FM,5.211530537
FM2FM,6.163997012
FM2FM,3.780751204
FM2FM,4.853835704
FM2FM,4.641714349
FM2FM,4.38384133
FM2FM,4.084375888
FM2FM,4.271541789
FM2FM,3.8098659
FM2FM,5.132504935
FM2FM,5.352944774
FM2FM,4.508618597
FM2FM,4.525255566
FM2FM,3.876413776
FM2FM,4.616758896
FM2FM,5.473562799
FM2FM,5.727276576
FM2FM,3.859776807
FM2FM,5.057638574
FM2FM,5.348785532
FM2FM,4.200834671
FM2FM,5.614977036
FM2FM,5.685684154
FM2FM,5.12418645
FM2FM,4.841357977
FM2FM,4.092694373
FM2FM,4.704102983
FM2FM,4.787287828
FM2FM,4.533574051
FM2FM,4.329771181
FM2FM,4.991090698
FM2FM,5.178256599
FM2FM,4.242427094
FM2FM,5.685684154
FM2FM,5.802142937
FM2FM,4.475344659
FM2FM,5.08675327
FM2FM,5.08675327
FM2FM,4.508618597
FM2FM,5.390377954
FM2FM,5.336307805
FM2FM,4.687466014
FM2FM,5.053479332
FM2FM,5.323830078
FM2FM,4.891268884
FM2FM,4.745695406
FM2FM,1.002377382
FM2FM,4.95781676
FM2FM,6.280455795
FM2FM,4.404637541
FM2FM,4.978612971
FM2FM,4.600121927
FM2FM,4.733217679
FM2FM,3.822343626
FM2FM,1.185384041
FM2FM,1.929888403
FM2FM,3.057043053
FM2FM,4.379682088
FM2FM,5.153301146
FM2FM,4.134286795
FM2FM,4.288178758
FM2FM,3.97623559
FM2FM,4.375522845
FM2FM,5.178256599
FM2FM,3.660133179
FM2FM,3.393941675
FM2FM,6.039219745
FM2FM,3.909687714
FM2FM,3.818184384
FM2FM,6.950093797
FM2FM,3.606063029
FM2FM,2.957221239
FM2FM,6.962571524
FM2FM,3.38562319
FM2FM,4.317293454
FM2FM,3.185979562
FM2FM,4.529414809
FM2FM,7.024960158
FM2FM,4.225790125
FM2FM,3.140227898
FM2FM,7.062393338
FM2FM,4.953657518
FM2FM,7.128941214
FM2FM,3.260845923
FM2FM,6.109926863
FM2FM,6.297092764
FM2FM,3.231731227
FM2FM,5.569225371
FM2FM,2.000595522
FM2FM,3.568629849
FM2FM,4.238267851
FM2FM,2.64527807
FM2FM,3.668451663
FM2FM,2.374927324
FM2FM,4.113490584
FM2FM,3.793228931
FM2FM,4.554370262
FM2FM,6.675583809
FM2FM,5.369581743
FM2FM,4.221630882
FM2FM,4.071898161
FM2FM,4.159242249
FM2FM,3.01545063
FM2FM,6.908501375
FM2FM,5.199052811
FM2FM,4.641714349
FM2FM,5.960194142
FM2FM,3.493763489
FM2FM,4.758173132
FM2FM,3.710044086
FM2FM,4.783128586
FM2FM,3.289960619
FM2FM,4.429592995
FM2FM,6.28877428
FM2FM,3.389782433
FM2FM,2.649437312
FM2FM,2.383245808
FM2FM,3.227571985
FM2FM,3.090316991
FM2FM,3.185979562
FM2FM,3.152705624
FM2FM,2.882354878
FM2FM,3.506241216
FM2FM,5.906123993
FM2FM,3.231731227
FM2FM,5.980990353
FM2FM,3.556152122
FM2FM,3.768273477
FM2FM,2.957221239
FM2FM,3.210935016
FM2FM,2.923947301
FM2FM,3.002972903
FM2FM,3.298279103
FM2FM,3.826502869
FM2FM,2.824125487
FM2FM,3.868095291
FM2FM,3.572789091
FM2FM,2.965539723
FM2FM,0.257873019
FM2FM,3.58942606
FM2FM,3.614381514
FM2FM,3.240049712
FM2FM,5.099230997
FM2FM,3.27332365
FM2FM,5.394537196
FM2FM,4.5876442
FM2FM,5.319670836
FM2FM,5.835416875
FM2FM,6.471780939
FM2FM,2.270946268
FM2FM,2.47890838
FM2FM,5.070116301
FM2FM,5.21568978
FM2FM,4.425433752
FM2FM,5.818779906
FM2FM,5.269759929
